VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,11172,7334,39,19
1,11047,7350,33,18
2,11117,7320,37,18
3,11192,7343,32,19
4,11323,7300,38,20
5,11251,7366,31,19
6,11195,7397,33,19
7,11359,7312,32,19
8,11009,7315,31,20
9,11211,7333,37,21
10,11277,7323,38,21
11,11242,7312,37,21
12,11292,7305,35,19
13,11087,7338,37,21
14,11070,7301,37,18
15,11472,7310,31,21
16,11088,7306,35,20
17,11396,7306,36,19
18,11314,7338,35,19
19,11193,7375,38,21
20,11486,7385,38,19
21,11039,7350,31,19
22,11087,7351,35,19
23,11174,7302,32,19
24,11088,7376,39,18
25,11337,7329,35,20
26,11165,7309,31,18
27,11025,7372,38,21
28,11333,7305,31,21
29,11072,7353,37,19
30,11265,7365,38,19
31,11404,7343,35,21
32,11115,7379,30,19
33,11464,7362,31,18
34,11243,7376,39,19
35,11197,7347,35,18
36,11335,7376,31,20
37,11431,7321,34,18
38,11448,7318,39,21
39,11338,7389,38,21
40,11099,7313,32,21
41,11472,7394,38,18
42,11177,7392,33,20
43,11243,7385,33,21
44,11285,7306,37,19
45,11147,7348,34,18
46,11147,7340,38,20
47,11398,7326,33,18
48,11423,7330,33,18
49,11288,7305,31,20
50,11449,7315,37,18
51,11265,7363,35,21
52,11185,7337,35,20
53,11127,7359,37,18
54,11032,7395,37,19
55,11031,7396,33,20
56,11202,7380,32,19
57,11244,7332,31,18
58,11151,7362,32,19
59,11163,7310,39,20
60,11459,7312,35,18
61,11370,7393,38,20
62,11183,7364,38,18
63,11028,7329,38,21
64,11290,7390,32,21
65,11128,7322,32,21
66,11128,7319,38,19
67,11420,7305,34,19
68,11053,7336,31,21
69,11389,7383,31,20
70,11038,7305,30,20
71,11488,7392,32,18
72,11244,7376,31,20
73,11273,7326,37,20
74,11335,7383,30,19
75,11388,7312,32,20
76,11105,7307,39,20
77,11042,7352,33,18
78,11442,7380,34,21
79,11031,7329,39,21
80,11376,7300,33,19
81,11257,7387,30,19
82,11321,7379,30,18
83,11487,7374,36,19
84,11425,7303,34,18
85,11057,7361,33,21
86,11291,7367,33,21
87,11358,7316,31,18
88,11119,7373,30,21
89,11267,7384,37,20
90,11430,7356,38,20
91,11082,7362,36,21
92,11091,7356,32,18
93,11384,7348,38,20
94,11398,7317,38,20
95,11099,7357,39,21
96,11053,7309,36,19
97,11396,7362,34,19
98,11121,7379,31,21
99,11426,7378,38,21
100,11084,7333,35,20
101,11203,7304,34,18
102,11324,7316,33,18
103,11262,7371,35,20
104,11452,7362,37,20
105,11047,7323,36,18
106,11127,7391,36,19
107,11131,7307,39,19
108,11460,7322,33,18
109,11356,7398,33,21
110,11180,7330,32,21
111,11488,7380,37,20
112,11334,7327,33,19
113,11143,7347,39,21
114,11148,7311,39,21
115,11227,7387,35,21
116,11442,7378,39,18
117,11279,7330,38,20
118,11207,7390,33,20
119,11397,7334,38,19
120,11373,7354,35,21
121,11341,7381,39,20
122,11048,7335,30,18
123,11305,7371,37,18
124,11069,7359,30,18
125,11169,7337,31,21
126,11163,7368,36,18
127,11448,7353,36,21
128,11095,7313,34,20
129,11197,7319,35,18
130,11094,7308,37,21
131,11256,7396,36,19
132,11369,7381,30,20
133,11178,7369,31,20
134,11292,7301,36,21
135,11418,7329,36,21
136,11304,7305,34,20
137,11349,7380,32,21
138,11387,7340,32,18
139,11098,7322,34,21
140,11042,7330,34,20
141,11461,7319,33,18
142,11368,7304,31,21
143,11487,7320,30,18
144,11405,7374,36,21
145,11201,7367,36,20
146,11383,7386,30,20
147,11000,7360,39,18
148,11394,7393,38,20
149,11370,7341,39,20
150,11043,7340,35,18
151,11442,7360,32,18
152,11383,7381,39,20
153,11023,7351,38,18
154,11187,7340,34,18
155,11130,7359,34,21
156,11377,7394,30,19
157,11098,7329,32,20
158,11062,7397,35,20
159,11419,7394,37,21
160,11222,7337,37,20
161,11123,7388,31,20
162,11451,7316,33,20
163,11082,7399,32,18
164,11430,7339,30,20
165,11227,7329,33,20
166,11148,7365,32,19
167,11209,7323,32,21
168,11050,7372,32,21
