VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,29167,4227,23,24
1,29167,29427,29,16
2,29127,29473,26,16
3,29184,29448,27,16
4,29156,29455,26,15
5,29152,29458,26,14
6,29155,29405,27,16
7,29087,29441,28,15
8,29122,29418,26,15
9,29073,29385,26,13
10,29028,29417,26,14
11,29053,29365,27,17
12,28988,29398,27,15
13,29015,29372,28,15
14,28981,29359,27,15
15,28957,29401,27,17
16,28997,29355,28,15
17,28936,29368,26,14
18,28942,29374,27,15
19,28945,29345,28,15
20,28901,29387,27,15
21,28962,29352,26,15
22,28911,29368,25,15
23,28930,29372,26,16
24,28937,29339,26,16
25,28897,29382,26,15
26,28952,29364,26,16
27,28923,29342,26,15
28,28904,29387,28,14
29,28958,29335,28,15
30,28893,29372,27,15
31,28941,29352,28,15
32,28916,29344,28,12
33,28908,29378,26,14
34,28952,29331,28,14
35,28892,29371,26,17
36,28939,29353,27,15
37,28909,29344,26,15
38,28898,29376,26,14
39,28935,29337,27,16
40,28885,29367,27,15
41,28910,29358,27,14
42,28900,29345,26,16
43,28882,29379,27,16
44,28932,29350,27,14
45,28900,29350,26,14
46,28898,29373,27,15
47,28924,29337,28,17
48,28889,29384,27,15
49,28941,29346,25,15
50,28895,29369,27,16
51,28925,29377,25,14
52,28934,29348,27,15
53,28903,29387,27,14
54,28959,29361,26,14
55,28938,29374,25,16
56,28952,29378,26,14
57,28968,29343,25,14
58,28937,29396,27,15
59,29006,29362,27,15
60,28969,29357,27,15
61,28980,29390,26,15
62,29022,29346,28,15
63,28983,29369,27,14
64,29016,29373,26,16
65,29027,29354,26,15
66,29013,29392,26,16
67,29072,29354,27,16
68,29020,29388,27,15
69,29067,29370,27,15
70,29048,29356,26,16
71,29039,29407,28,16
72,29111,29360,27,14
73,29057,29378,26,15
74,29089,29377,26,14
75,29097,29359,28,15
76,29083,29404,26,16
77,29149,29369,26,16
78,29115,29373,26,16
79,29130,29381,26,15
80,29156,29358,27,14
81,29131,29383,27,15
82,29171,29378,25,15
83,29167,29378,27,14
84,29172,29406,27,15
85,29209,29368,27,15
86,29164,29405,26,15
87,29203,29377,27,15
88,29176,29377,27,15
89,29162,29390,27,15
90,29174,29341,25,14
91,29115,29373,27,15
92,29139,29345,28,15
93,29105,29333,29,14
