VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,11564,6660,32,19
1,11601,6658,31,19
2,11578,6660,30,18
3,11555,6659,31,19
4,11563,6664,31,18
5,11580,6667,30,19
6,11578,6663,32,19
7,11557,6661,31,20
8,11535,6664,31,18
9,11549,6666,31,18
10,11581,6669,32,20
11,11582,6665,31,18
12,11556,6666,31,20
13,11558,6670,31,19
14,11583,6674,33,18
15,11613,6676,31,18
16,11618,6671,31,18
17,11600,6674,30,18
18,11606,6676,31,19
19,11635,6679,32,20
20,11659,6679,30,19
21,11639,6681,30,20
22,11644,6685,31,19
23,11667,6691,32,19
24,11688,6692,30,19
25,11688,6693,30,19
26,11677,6698,31,19
27,11676,6698,30,19
28,11692,6698,32,18
29,11715,6701,30,19
30,11720,6701,30,19
31,11704,6701,30,21
32,11700,6707,33,20
33,11731,6712,31,19
34,11747,6713,31,19
35,11730,6711,30,19
36,11716,6714,30,20
37,11713,6715,31,18
38,11727,6716,33,19
39,11733,6715,30,20
40,11695,6713,32,19
41,11667,6711,31,19
42,11660,6710,31,17
43,11642,6703,32,18
44,11596,6698,29,19
45,11550,6696,32,18
46,11525,6690,31,17
47,11521,6689,31,19
48,11528,6684,31,18
49,11496,6680,29,18
50,11461,6678,31,20
51,11469,6675,31,19
52,11480,6678,31,19
53,11495,6678,30,20
54,11476,6675,32,18
55,11456,6676,30,19
56,11476,6678,31,18
57,11500,6678,32,19
58,11501,6676,31,17
59,11485,6679,31,20
60,11500,6683,30,19
61,11518,6682,32,19
62,11518,6682,30,17
63,11505,6685,30,19
64,11488,6684,31,18
65,11501,6688,30,19
66,11522,6688,30,19
67,11538,6685,30,18
68,11515,6690,30,18
69,11498,6689,30,19
70,11504,6687,31,19
71,11520,6693,31,19
72,11528,6689,31,20
73,11501,6688,31,20
74,11491,6690,30,19
75,11494,6691,31,21
76,11515,6691,30,19
77,11507,6690,30,18
78,11482,6693,31,18
79,11501,6694,32,19
80,11514,6694,30,17
81,11509,6695,31,20
82,11492,6694,29,18
83,11485,6696,31,18
84,11503,6696,31,17
85,11523,6700,30,19
86,11539,6700,30,18
87,11515,6701,31,20
88,11505,6703,32,20
89,11528,6707,30,19
90,11552,6710,30,19
91,11558,6709,31,19
92,11542,6711,30,20
93,11537,6713,30,19
94,11568,6717,30,17
95,11592,6713,31,19
96,11576,6716,31,18
97,11565,6720,31,18
98,11599,6720,29,19
99,11616,6724,30,18
100,11608,6721,31,20
101,11603,6726,31,19
102,11596,6725,30,18
103,11607,6731,32,19
104,11643,6730,31,18
105,11635,6729,31,18
106,11609,6729,31,19
107,11602,6728,31,19
108,11602,6726,30,17
109,11595,6726,31,19
110,11559,6720,32,18
111,11505,6715,32,21
112,11476,6711,29,20
113,11463,6707,30,18
114,11445,6700,31,18
115,11402,6694,31,18
116,11365,6696,32,18
117,11386,6693,32,18
118,11383,6690,31,17
119,11363,6688,31,18
120,11338,6684,30,18
121,11333,6691,30,18
122,11353,6688,31,17
123,11364,6689,31,20
124,11366,6689,33,18
125,11350,6686,31,20
126,11344,6691,29,17
127,11363,6690,30,20
128,11389,6691,29,19
129,11367,6693,31,20
130,11354,6694,30,18
131,11370,6696,30,19
132,11395,6696,32,19
133,11402,6693,31,21
134,11381,6697,31,19
135,11375,6698,29,18
136,11406,6698,30,19
137,11407,6698,33,18
138,11380,6700,32,19
139,11364,6699,29,20
140,11359,6696,31,17
141,11377,6698,30,19
142,11386,6699,30,19
143,11377,6698,30,18
144,11352,6696,30,18
145,11350,6699,31,17
146,11371,6700,30,18
147,11374,6701,29,20
148,11358,6695,30,19
149,11339,6701,31,18
150,11358,6702,31,19
151,11374,6705,31,18
152,11376,6703,33,18
153,11359,6703,31,20
154,11355,6705,31,18
155,11394,6707,32,19
156,11395,6704,30,18
157,11369,6708,31,19
158,11377,6709,30,19
159,11374,6714,30,19
160,11411,6715,30,18
161,11425,6716,31,18
162,11415,6716,30,19
163,11410,6719,30,19
164,11429,6721,31,18
165,11455,6722,31,18
166,11458,6724,30,18
167,11443,6725,31,17
168,11442,6726,30,20
169,11460,6729,30,18
170,11487,6732,31,20
171,11479,6728,30,19
172,11461,6733,31,19
173,11470,6735,30,19
174,11504,6732,30,20
175,11484,6732,30,19
176,11453,6731,31,19
177,11429,6728,31,19
178,11411,6725,30,21
179,11410,6720,30,19
180,11382,6716,30,19
181,11326,6708,31,18
182,11283,6707,31,18
183,11286,6707,30,19
184,11284,6698,32,17
185,11261,6696,32,20
186,11230,6695,31,20
187,11227,6692,30,18
188,11244,6692,32,18
189,11254,6690,30,19
190,11232,6690,32,19
191,11214,6688,31,19
192,11223,6688,30,18
193,11242,6692,29,18
194,11232,6687,29,19
195,11206,6688,31,18
196,11214,6689,30,18
197,11236,6691,31,20
198,11261,6692,32,18
199,11252,6690,31,19
200,11231,6693,30,20
201,11235,6696,30,19
202,11256,6696,31,19
203,11271,6694,32,18
204,11253,6696,29,19
205,11237,6696,31,19
206,11247,6696,33,19
207,11267,6696,32,19
208,11281,6697,32,21
209,11256,6695,30,21
210,11245,6700,32,18
211,11264,6702,31,19
212,11280,6702,30,21
213,11266,6705,31,19
214,11259,6704,33,21
215,11268,6707,32,20
216,11286,6708,32,20
217,11308,6705,32,20
218,11289,6709,33,19
219,11286,6704,31,21
220,11289,6711,32,20
221,11320,6708,30,20
222,11342,6711,32,18
223,11319,6715,30,17
224,11303,6715,33,19
225,11325,6715,33,19
226,11364,6714,32,19
227,11376,6707,32,20
228,11354,6708,32,20
229,11344,6707,32,20
230,11352,6702,30,19
231,11342,6702,32,19
232,11309,6700,32,18
233,11286,6698,31,19
234,11261,6701,31,19
235,11260,6701,32,20
236,11251,6703,31,20
237,11225,6701,33,21
238,11191,6706,32,20
239,11203,6707,32,18
240,11213,6707,32,19
241,11215,6710,33,19
242,11186,6709,32,19
243,11165,6712,31,21
244,11176,6710,32,18
245,11182,6708,31,19
246,11150,6704,31,19
247,11113,6698,32,18
248,11088,6698,32,21
249,11080,6697,31,20
250,11055,6691,31,19
251,11025,6691,32,20
252,11015,6692,32,21
253,11022,6686,32,18
254,11034,6688,34,19
255,11035,6685,31,17
256,11012,6685,32,21
257,11007,6681,32,20
258,11021,6687,32,19
259,11045,6685,32,20
260,11039,6683,30,19
261,11022,6686,30,19
262,11034,6684,32,19
263,11048,6687,31,20
264,11071,6692,31,19
265,11053,6688,31,20
266,11044,6692,32,19
267,11057,6694,32,20
268,11086,6694,32,20
269,11067,6694,32,19
270,11065,6692,32,20
271,11070,6698,30,19
272,11083,6698,31,18
273,11098,6696,33,19
274,11099,6697,33,20
275,11076,6693,33,18
276,11061,6694,34,19
277,11077,6694,31,20
278,11084,6690,32,20
279,11073,6690,31,18
280,11046,6689,30,20
281,11043,6693,32,20
282,11067,6693,33,19
283,11076,6693,32,20
284,11057,6696,32,19
285,11050,6693,31,19
286,11054,6697,32,19
287,11088,6697,34,19
288,11063,6693,33,19
289,11063,6698,32,18
290,11082,6698,31,19
291,11106,6701,32,19
292,11124,6699,31,20
293,11121,6703,31,18
294,11103,6705,31,21
295,11120,6705,32,20
296,11151,6709,32,20
297,11176,6710,32,20
298,11168,6708,31,20
299,11155,6713,31,20
300,11171,6717,33,19
301,11204,6719,32,20
302,11218,6721,32,20
303,11210,6719,31,21
304,11198,6725,31,21
305,11228,6724,31,20
306,11253,6723,32,19
307,11218,6725,32,18
308,11213,6723,33,19
309,11208,6722,31,20
310,11210,6723,31,19
311,11209,6716,32,19
312,11171,6716,33,20
313,11133,6708,32,20
314,11119,6709,33,18
315,11128,6705,31,19
316,11110,6697,31,19
317,11076,6698,32,19
318,11064,6693,31,18
319,11066,6698,32,19
320,11091,6695,31,19
321,11080,6691,32,20
322,11060,6691,33,20
323,11053,6689,31,20
324,11079,6695,32,19
325,11103,6694,32,20
326,11074,6688,32,20
327,11075,6694,33,20
328,11102,6692,31,19
329,11124,6696,31,20
330,11139,6703,32,19
331,11131,6696,32,19
332,11114,6701,29,20
333,11142,6703,32,21
334,11165,6703,31,20
335,11163,6706,32,19
336,11144,6701,33,20
337,11134,6708,30,18
338,11156,6707,31,18
339,11181,6707,32,19
340,11171,6706,33,19
341,11153,6704,31,18
342,11157,6709,32,19
343,11182,6712,31,20
344,11196,6706,32,19
345,11157,6714,32,19
346,11172,6714,32,20
347,11191,6715,31,20
348,11215,6715,31,18
349,11224,6711,32,19
350,11206,6715,32,19
351,11216,6714,32,19
352,11242,6718,31,19
353,11269,6719,32,20
354,11259,6718,33,19
355,11248,6720,32,18
356,11254,6723,34,20
357,11272,6721,32,22
358,11296,6724,32,19
359,11280,6722,32,19
360,11252,6725,31,18
361,11274,6728,29,20
362,11295,6727,32,20
363,11297,6730,31,21
364,11274,6728,31,20
365,11276,6733,31,21
366,11301,6734,31,19
367,11309,6736,32,20
368,11296,6736,31,19
369,11271,6734,32,18
370,11252,6732,33,18
371,11255,6729,31,20
372,11241,6724,33,19
373,11207,6720,31,20
374,11165,6715,32,20
375,11158,6715,33,17
376,11168,6711,30,19
377,11157,6705,31,19
378,11121,6703,33,19
379,11111,6698,31,18
380,11115,6701,32,20
381,11131,6699,33,19
382,11134,6696,31,19
383,11114,6698,32,19
384,11136,6696,32,19
385,11151,6698,32,20
386,11169,6695,31,19
387,11155,6694,33,19
388,11131,6698,30,19
389,11152,6699,32,20
390,11174,6700,33,19
391,11186,6701,31,20
392,11178,6700,31,20
393,11164,6704,31,20
394,11181,6706,32,19
395,11207,6704,32,20
396,11205,6706,32,19
397,11179,6703,32,20
398,11181,6706,31,20
399,11198,6706,33,20
400,11210,6704,33,19
401,11189,6706,33,20
402,11171,6702,31,20
403,11187,6705,32,21
404,11197,6704,31,21
405,11199,6702,32,20
406,11181,6707,31,20
407,11177,6702,33,20
408,11195,6703,32,19
409,11226,6707,32,20
410,11227,6701,32,21
411,11213,6706,32,21
412,11213,6706,30,20
413,11238,6706,31,20
414,11259,6708,31,17
415,11255,6705,32,19
416,11234,6708,31,18
417,11249,6710,32,20
418,11281,6714,33,19
419,11304,6715,33,20
420,11282,6714,31,19
421,11283,6721,31,19
422,11309,6721,31,18
423,11321,6720,32,17
424,11317,6724,31,19
425,11309,6723,32,20
426,11306,6730,31,20
427,11337,6730,32,17
428,11355,6727,32,19
429,11344,6731,31,19
430,11325,6728,32,20
431,11311,6727,34,20
432,11321,6726,32,20
433,11314,6722,32,20
434,11276,6719,31,19
435,11238,6714,31,20
436,11219,6712,31,20
437,11219,6710,31,20
438,11215,6703,32,20
439,11181,6700,31,19
440,11166,6698,30,19
441,11171,6696,32,18
442,11176,6694,31,20
443,11158,6690,31,19
444,11138,6692,32,19
445,11134,6690,31,19
446,11159,6693,32,20
447,11179,6693,31,20
448,11156,6690,30,19
449,11141,6693,32,20
450,11160,6693,30,20
451,11187,6696,32,19
452,11204,6696,30,20
453,11191,6695,31,20
454,11182,6702,30,19
455,11207,6701,32,21
456,11237,6702,29,19
457,11235,6703,31,20
458,11224,6701,31,18
459,11231,6706,31,21
460,11254,6707,31,19
461,11254,6705,31,19
462,11238,6705,30,20
463,11223,6701,31,19
464,11235,6704,31,20
465,11259,6706,30,20
466,11263,6706,30,18
467,11243,6704,33,18
468,11238,6702,30,19
469,11246,6705,32,20
470,11276,6709,32,21
471,11273,6703,32,20
472,11249,6707,32,21
473,11249,6704,31,20
474,11261,6708,32,19
475,11289,6710,31,19
476,11271,6704,31,20
477,11250,6708,33,21
478,11280,6712,31,20
479,11297,6710,31,18
480,11297,6714,30,18
481,11284,6710,31,19
482,11271,6715,30,20
483,11292,6717,32,18
484,11317,6721,30,20
485,11330,6722,31,20
486,11310,6719,32,20
487,11300,6727,31,20
488,11334,6725,31,20
489,11351,6727,32,21
490,11348,6728,31,19
491,11331,6724,31,20
492,11326,6729,31,20
493,11345,6725,30,20
494,11347,6724,31,18
495,11310,6720,31,20
496,11280,6718,31,20
497,11273,6714,32,19
498,11268,6712,30,19
499,11240,6705,30,20
500,11197,6705,30,20
501,11178,6699,31,20
502,11184,6700,30,19
503,11193,6700,31,21
504,11180,6696,32,20
505,11151,6694,32,20
506,11144,6694,32,18
507,11160,6696,31,18
508,11180,6696,30,21
509,11180,6694,31,19
510,11162,6696,32,20
511,11167,6697,29,20
512,11194,6699,32,19
513,11210,6700,33,19
514,11198,6697,31,22
515,11209,6703,30,19
516,11232,6705,30,19
517,11237,6703,32,19
518,11226,6709,31,20
519,11218,6703,30,20
520,11214,6707,32,20
521,11236,6707,32,20
522,11244,6705,30,18
523,11233,6707,32,19
524,11216,6706,32,19
525,11208,6708,30,19
526,11232,6709,32,22
527,11235,6706,31,19
528,11211,6707,32,19
529,11197,6704,31,18
530,11207,6709,32,19
531,11231,6709,30,20
532,11234,6706,31,18
533,11209,6712,31,18
534,11234,6711,30,18
535,11246,6712,33,20
536,11247,6713,32,21
537,11238,6715,29,20
538,11221,6716,31,19
539,11238,6717,30,19
540,11254,6719,32,19
541,11276,6721,31,19
542,11267,6720,32,20
543,11255,6727,30,19
544,11279,6725,31,19
545,11305,6730,30,20
546,11316,6728,31,19
547,11301,6727,31,20
548,11292,6735,31,18
549,11315,6736,31,19
550,11341,6732,31,20
551,11328,6734,30,19
552,11312,6736,30,18
553,11333,6736,30,20
554,11333,6734,33,18
555,11304,6730,30,19
556,11267,6728,31,19
557,11240,6724,32,18
558,11223,6725,31,20
559,11215,6723,31,19
560,11200,6717,32,19
561,11150,6715,30,19
562,11126,6709,32,19
563,11128,6713,31,20
564,11133,6712,31,18
565,11129,6707,30,18
566,11091,6711,31,19
567,11088,6706,31,21
568,11101,6710,30,21
569,11127,6708,31,18
570,11108,6706,31,19
571,11093,6709,31,21
572,11131,6711,31,19
573,11140,6707,29,19
574,11130,6711,31,20
575,11121,6710,31,20
576,11120,6716,31,19
577,11141,6717,29,20
578,11168,6717,31,19
579,11166,6717,31,19
580,11148,6715,30,18
581,11144,6721,31,20
582,11171,6722,31,21
583,11188,6719,31,20
584,11164,6720,31,19
585,11145,6719,31,19
586,11145,6723,31,20
587,11168,6721,31,20
588,11172,6720,30,20
589,11148,6724,31,19
590,11136,6726,31,20
