VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,10750,5083,37,64
1,10694,5080,37,42
2,10667,5081,36,29
3,10686,5080,37,26
4,10678,5079,37,26
5,10676,5079,37,24
6,10696,5078,37,20
7,10681,5080,38,21
8,10711,5080,37,21
9,10710,5079,38,21
10,10713,5082,35,21
11,10744,5081,37,22
12,10738,5079,36,22
13,10748,5080,38,20
14,10762,5081,36,25
15,10751,5082,36,22
16,10789,5082,37,25
17,10767,5082,35,23
18,10789,5083,36,21
19,10797,5082,36,20
20,10785,5082,36,24
21,10810,5081,37,24
22,10789,5083,36,23
23,10799,5083,36,21
24,10801,5081,37,22
25,10783,5082,36,25
26,10818,5082,37,24
27,10795,5083,38,27
28,10807,5082,37,26
29,10817,5081,36,26
30,10807,5083,37,25
31,10829,5082,36,20
32,10826,5082,37,22
33,10831,5083,37,18
34,10852,5082,37,20
35,10835,5081,37,24
36,10861,5084,37,24
37,10865,5081,36,24
38,10872,5084,35,21
39,10902,5084,37,20
40,10891,5083,37,20
41,10919,5085,38,19
42,10921,5084,38,22
43,10926,5086,37,19
44,10963,5086,38,22
45,10955,5086,37,22
46,10982,5085,36,23
47,10991,5086,37,20
48,10986,5083,36,17
49,11008,5083,37,17
50,11009,5085,37,21
51,11009,5085,37,17
52,11018,5085,38,23
53,10991,5084,36,18
54,11002,5084,38,19
55,10963,5089,36,22
56,10947,5085,38,22
57,10935,5085,37,23
58,10894,5083,38,22
59,10893,5085,36,20
60,10861,5087,35,18
61,10841,5086,38,22
62,10840,5084,36,24
63,10804,5086,38,26
64,10826,5085,37,23
65,10807,5085,38,25
66,10803,5085,37,25
67,10822,5084,37,22
68,10805,5087,38,21
69,10824,5083,37,18
70,10826,5085,37,21
71,10827,5087,38,23
72,10859,5086,37,19
73,10844,5085,37,22
74,10867,5086,38,20
75,10867,5085,37,21
76,10862,5085,37,18
77,10898,5086,35,19
78,10878,5087,36,20
79,10901,5088,37,21
80,10910,5084,37,23
81,10893,5087,37,22
82,10914,5086,38,19
83,10895,5086,36,22
84,10908,5086,36,18
85,10914,5084,36,21
86,10895,5085,38,23
87,10916,5086,37,21
88,10909,5085,36,24
89,10903,5086,37,24
90,10920,5085,36,23
91,10899,5087,38,24
92,10927,5085,37,26
93,10914,5087,35,24
94,10921,5088,37,21
95,10944,5084,36,21
96,10924,5085,36,22
97,10944,5086,34,21
98,10942,5087,37,22
