VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,26900,27398,49,16
1,26891,27681,49,16
2,26897,27682,49,15
3,26886,27691,47,17
4,26888,27697,50,17
5,26877,27702,50,17
6,26885,27710,48,17
7,26885,27704,49,16
8,26870,27709,50,17
9,26878,27717,49,17
10,26875,27713,48,16
11,26870,27729,47,15
12,26881,27731,50,17
13,26872,27739,49,15
14,26882,27740,48,15
15,26869,27748,49,16
16,26874,27764,48,16
17,26881,27762,48,16
18,26863,27771,49,18
19,26870,27784,49,16
20,26865,27784,49,17
21,26858,27805,48,16
22,26869,27809,47,17
23,26860,27813,50,15
24,26865,27817,49,18
25,26856,27825,48,16
26,26858,27837,47,17
27,26867,27839,49,15
28,26855,27842,48,16
29,26858,27846,47,16
30,26853,27845,48,16
31,26841,27864,47,15
32,26851,27878,49,16
33,26848,27878,47,16
34,26840,27896,49,16
35,26840,27909,48,16
36,26835,27916,48,16
37,26837,27929,48,16
38,26832,27935,49,16
39,26835,27948,48,16
40,26836,27958,48,16
41,26836,27964,49,16
42,26846,27968,49,16
43,26841,27964,48,16
44,26853,27953,48,16
45,26854,27926,48,16
46,26846,27899,47,16
47,26861,27873,48,16
48,26860,27841,49,16
49,26863,27826,49,16
50,26872,27795,48,16
51,26866,27774,49,15
52,26877,27758,49,16
53,26873,27747,49,16
54,26872,27741,48,18
55,26876,27739,48,16
56,26867,27740,49,16
57,26869,27749,49,16
58,26869,27741,47,17
59,26863,27757,48,16
60,26878,27751,50,16
61,26861,27757,50,16
62,26868,27762,48,16
63,26864,27769,49,17
64,26867,27774,49,16
65,26873,27787,48,16
66,26875,27789,46,17
67,26872,27807,48,17
68,26884,27804,49,17
69,26879,27825,50,15
70,26895,27826,50,16
71,26877,27839,49,17
72,26888,27849,49,17
73,26890,27850,49,18
74,26880,27858,48,16
75,26887,27857,49,17
76,26875,27865,48,16
77,26884,27884,47,16
78,26899,27881,50,15
79,26887,27896,47,16
80,26896,27901,49,14
81,26886,27908,49,16
82,26887,27927,49,16
83,26895,27935,49,17
84,26883,27945,49,16
85,26889,27952,49,15
86,26882,27950,48,16
87,26873,27970,49,17
88,26886,27975,49,16
89,26877,27973,47,17
90,26877,27988,47,17
91,26881,27983,47,16
92,26871,27993,49,16
93,26883,27993,48,16
94,26871,27997,49,16
95,26881,28002,49,15
96,26880,27991,49,18
97,26871,28005,48,16
98,26887,28006,48,16
99,26881,28009,49,17
100,26893,28013,48,17
101,26894,28014,49,15
102,26885,28023,47,16
103,26895,28030,48,16
104,26890,28038,47,16
105,26888,28057,47,15
106,26897,28066,48,15
107,26894,28072,49,16
108,26902,28079,48,15
109,26895,28093,49,17
110,26916,28097,49,17
111,26923,28088,48,17
112,26913,28105,48,15
113,26942,28094,47,17
114,26929,28095,48,16
115,26936,28093,49,14
116,26940,28080,49,16
117,26925,28069,49,14
118,26929,28061,50,15
119,26923,28040,48,16
120,26906,28035,47,16
121,26915,28012,49,15
122,26891,28000,48,16
123,26890,27998,49,16
124,26889,27994,48,16
125,26885,28004,50,15
126,26901,27993,48,17
127,26884,28005,48,14
128,26901,28013,48,16
129,26906,28013,50,18
130,26900,28029,49,16
131,26918,28033,50,16
132,26907,28037,49,17
133,26909,28047,49,16
134,26908,28052,48,16
135,26896,28070,48,16
136,26907,28072,49,16
137,26892,28075,48,16
138,26893,28085,47,17
139,26898,28075,49,15
140,26880,28090,49,15
141,26895,28095,49,16
142,26893,28093,48,15
143,26893,28099,49,14
144,26905,28089,48,16
145,26890,28092,48,17
146,26902,28092,47,15
147,26898,28081,49,16
148,26897,28078,50,15
149,26902,28066,48,15
150,26893,28067,48,17
151,26901,28065,49,15
152,26897,28049,49,16
153,26888,28056,49,17
154,26899,28042,48,16
155,26877,28052,48,15
156,26896,28045,49,17
157,26884,28041,48,17
158,26880,28051,48,16
159,26896,28046,48,17
160,26885,28044,48,16
161,26886,28054,48,16
162,26894,28052,47,17
163,26893,28058,50,17
164,26905,28052,48,16
165,26895,28058,48,17
166,26907,28070,48,17
167,26915,28059,48,17
168,26902,28061,49,17
169,26914,28064,48,16
170,26909,28065,49,16
171,26918,28078,48,16
172,26928,28068,47,17
173,26912,28075,46,16
174,26927,28081,48,17
175,26923,28074,48,16
176,26923,28085,49,15
177,26936,28081,48,16
178,26929,28080,49,18
179,26937,28085,48,15
180,26944,28080,49,16
181,26945,28086,50,16
182,26955,28087,50,15
183,26949,28083,48,17
184,26957,28084,49,18
185,26953,28080,49,17
186,26955,28081,49,16
187,26965,28068,49,17
188,26954,28063,48,17
189,26965,28048,49,17
190,26957,28029,48,16
191,26948,28023,50,16
192,26957,28010,49,17
193,26940,28009,49,15
194,26951,28013,49,17
195,26956,28003,49,17
196,26942,28015,49,17
197,26961,28020,49,17
198,26954,28018,49,16
199,26955,28034,48,16
200,26968,28032,49,15
201,26961,28040,48,16
202,26978,28045,49,17
203,26972,28050,49,14
204,26986,28053,50,17
205,26990,28054,49,16
206,26987,28061,48,15
207,27003,28058,49,15
208,26997,28059,48,17
209,27006,28057,50,17
210,27011,28054,47,15
211,27003,28055,47,16
212,27012,28055,48,16
213,27008,28052,49,15
214,27008,28060,48,17
215,27024,28053,47,18
216,27010,28047,48,17
217,27018,28043,48,17
218,27017,28036,48,15
219,27011,28043,49,16
220,27027,28036,49,16
221,27017,28035,49,17
222,27028,28039,50,16
223,27029,28021,48,16
224,27017,28030,48,17
225,27037,28031,51,15
226,27030,28021,47,15
227,27034,28032,48,16
228,27041,28025,49,16
229,27037,28029,49,16
230,27050,28032,48,17
231,27047,28039,48,16
232,27057,28044,50,16
233,27065,28044,48,17
234,27061,28051,49,16
235,27074,28054,49,16
236,27074,28051,48,17
237,27071,28066,49,16
238,27087,28058,49,15
239,27073,28073,48,17
240,27097,28076,49,17
241,27089,28075,49,15
242,27094,28086,48,16
243,27106,28079,49,17
244,27096,28087,49,17
245,27112,28088,49,16
246,27110,28081,48,16
247,27103,28093,48,16
248,27117,28090,50,15
249,27106,28091,48,16
250,27114,28102,47,17
251,27118,28102,49,16
252,27119,28110,48,16
253,27132,28099,47,17
254,27116,28098,48,16
255,27122,28107,49,16
256,27132,28104,49,14
257,27123,28115,48,15
258,27139,28104,49,16
259,27122,28105,46,16
260,27131,28097,47,18
261,27129,28080,48,17
262,27115,28083,46,15
263,27132,28055,47,16
264,27113,28045,50,16
265,27116,28033,48,15
266,27115,28018,49,16
267,27101,28015,47,18
268,27110,28015,49,15
269,27103,28008,47,16
270,27101,28017,49,15
271,27108,28017,49,15
272,27098,28019,48,16
273,27101,28028,49,17
274,27102,28024,49,15
275,27094,28039,50,17
276,27107,28044,50,17
277,27098,28044,49,15
278,27100,28052,49,17
279,27101,28054,50,15
280,27100,28068,48,16
281,27113,28058,50,14
282,27096,28057,49,16
283,27101,28061,49,16
284,27097,28061,50,16
285,27097,28069,48,17
286,27108,28073,48,15
287,27100,28065,48,15
288,27101,28069,48,17
289,27101,28063,49,17
290,27093,28076,47,16
291,27109,28069,49,15
292,27099,28067,49,18
293,27099,28074,49,14
294,27108,28068,47,16
295,27092,28071,49,17
296,27103,28067,49,18
297,27086,28064,48,16
298,27092,28072,49,16
299,27096,28079,48,15
300,27090,28082,48,16
301,27100,28084,49,16
302,27091,28089,49,17
303,27097,28095,49,15
304,27099,28097,49,16
305,27091,28105,46,16
306,27103,28112,49,16
307,27101,28110,49,15
308,27096,28120,48,15
309,27112,28118,49,15
310,27098,28125,49,15
311,27108,28125,47,17
312,27107,28121,49,18
313,27096,28132,47,16
314,27114,28124,48,15
315,27096,28120,49,15
316,27104,28126,49,15
317,27101,28123,49,15
318,27096,28131,48,15
319,27110,28120,49,16
320,27091,28124,49,16
321,27100,28131,48,17
322,27101,28128,50,15
323,27094,28136,47,16
324,27109,28135,49,17
325,27095,28136,48,16
326,27099,28143,48,18
327,27102,28139,48,17
328,27088,28154,49,17
329,27108,28153,48,18
330,27103,28147,49,16
331,27094,28154,48,15
332,27108,28150,49,16
333,27094,28159,50,16
334,27112,28156,49,16
335,27098,28164,47,15
336,27104,28168,48,16
337,27108,28161,48,15
338,27093,28159,49,17
339,27104,28147,50,16
340,27092,28132,48,17
341,27084,28132,49,18
342,27097,28116,47,15
343,27081,28104,49,17
344,27084,28096,50,15
345,27075,28086,49,18
346,27067,28097,50,16
347,27081,28090,49,16
348,27066,28090,47,16
349,27068,28108,47,18
350,27081,28098,49,16
351,27063,28115,50,16
352,27083,28114,50,16
353,27073,28113,50,17
354,27076,28121,48,15
355,27083,28115,51,17
356,27069,28121,49,16
357,27086,28126,47,15
358,27081,28116,48,15
359,27077,28128,48,16
360,27087,28116,47,15
361,27075,28120,49,15
362,27088,28119,49,15
363,27082,28104,49,15
364,27076,28117,49,15
365,27090,28113,49,18
366,27078,28109,50,16
367,27086,28118,47,15
368,27091,28103,48,16
369,27079,28107,48,15
370,27088,28102,48,16
371,27074,28107,50,17
372,27091,28110,49,16
373,27084,28102,49,15
374,27080,28109,49,16
375,27093,28099,49,16
376,27074,28104,48,16
377,27087,28111,48,18
378,27087,28107,49,17
379,27082,28114,49,16
380,27093,28116,50,15
381,27084,28117,48,17
382,27090,28118,47,17
383,27093,28120,48,17
384,27089,28128,50,16
385,27102,28130,50,16
386,27096,28130,49,16
387,27096,28137,50,16
388,27110,28124,48,15
389,27086,28132,48,17
390,27100,28130,48,16
391,27092,28133,50,16
392,27105,28128,48,16
393,27102,28127,50,17
394,27095,28136,50,16
395,27112,28133,48,18
396,27102,28136,48,16
397,27110,28143,49,16
398,27117,28138,49,16
399,27108,28145,48,16
400,27121,28141,49,16
401,27112,28133,48,16
402,27107,28141,47,17
403,27121,28137,48,16
404,27108,28141,48,14
405,27118,28142,48,16
406,27120,28131,50,17
407,27110,28136,49,16
408,27117,28143,50,15
409,27112,28142,49,16
410,27123,28147,49,16
411,27122,28141,46,16
412,27113,28149,48,15
413,27126,28146,49,15
414,27111,28156,48,16
415,27121,28162,48,14
416,27126,28147,48,16
417,27112,28154,49,15
418,27126,28139,49,16
419,27113,28121,49,16
420,27112,28110,47,15
421,27108,28090,47,18
