VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,27307,28314,41,22
1,27609,28305,42,22
2,27613,28308,42,20
3,27624,28311,41,21
4,27626,28305,41,21
5,27617,28311,42,22
6,27629,28307,41,23
7,27629,28316,42,22
8,27639,28312,42,20
9,27625,28309,43,21
10,27618,28313,42,23
11,27622,28316,42,22
12,27620,28323,43,22
13,27620,28327,41,21
14,27622,28318,41,22
15,27610,28330,42,21
16,27624,28323,41,21
17,27615,28320,42,22
18,27601,28320,40,22
19,27596,28318,41,21
20,27596,28330,41,20
21,27610,28327,42,21
22,27607,28327,42,20
23,27603,28329,41,21
24,27603,28317,42,22
25,27594,28332,41,22
26,27616,28327,41,23
27,27612,28326,41,22
28,27610,28328,41,22
29,27611,28329,42,22
30,27616,28330,42,20
31,27612,28329,43,21
32,27608,28332,41,20
33,27607,28333,43,22
34,27607,28330,42,22
35,27607,28330,40,21
36,27604,28331,42,21
37,27594,28326,41,20
38,27585,28335,41,21
39,27595,28329,42,21
40,27592,28332,41,22
41,27596,28330,42,21
42,27593,28327,41,21
43,27592,28329,40,21
44,27606,28324,42,22
45,27608,28330,42,23
46,27616,28325,43,23
47,27609,28327,42,21
48,27609,28325,41,21
49,27614,28321,43,22
50,27607,28327,42,22
51,27612,28329,42,22
52,27617,28328,41,22
53,27625,28329,42,23
54,27635,28332,42,22
55,27639,28324,41,21
56,27632,28326,43,21
57,27635,28326,42,21
58,27639,28325,42,22
59,27648,28328,42,22
60,27648,28325,41,21
61,27640,28322,41,22
62,27641,28323,44,22
63,27642,28327,41,20
64,27656,28335,43,20
65,27660,28325,42,22
66,27649,28336,42,21
67,27660,28328,42,21
68,27654,28331,41,23
69,27651,28323,42,22
70,27631,28324,40,21
71,27616,28329,40,22
72,27623,28337,40,21
73,27646,28348,39,19
74,27666,28352,41,20
75,27660,28338,39,22
76,27627,28340,39,21
77,27624,28340,39,22
78,27623,28344,39,21
79,27628,28348,41,21
80,27621,28349,39,21
81,27611,28336,39,21
82,27591,28337,39,22
83,27587,28345,38,22
84,27589,28346,38,20
85,27586,28344,39,21
86,27590,28339,40,20
87,27577,28345,38,21
88,27577,28339,40,20
89,27566,28347,40,20
90,27575,28342,39,22
91,27566,28349,39,21
92,27580,28345,41,23
93,27572,28345,41,22
94,27558,28344,40,21
95,27556,28339,39,21
96,27549,28340,38,21
97,27554,28342,39,22
98,27558,28340,39,21
99,27559,28344,40,22
100,27569,28342,40,21
101,27569,28346,39,21
102,27579,28346,37,21
103,27588,28345,38,21
104,27591,28342,38,21
105,27597,28339,38,20
106,27594,28340,36,22
107,27596,28343,37,21
108,27600,28345,35,21
109,27605,28344,37,21
110,27614,28344,38,20
111,27621,28344,37,20
112,27618,28340,36,19
113,27614,28350,35,21
114,27628,28345,37,21
115,27633,28349,37,21
116,27635,28346,36,22
117,27627,28345,37,21
118,27620,28347,36,21
119,27624,28351,37,22
120,27634,28353,36,24
121,27638,28352,36,20
122,27631,28349,36,21
123,27627,28351,36,22
124,27629,28350,37,22
125,27633,28350,36,21
126,27632,28351,36,20
127,27634,28354,36,21
128,27638,28349,36,21
129,27636,28350,36,20
130,27641,28354,38,21
131,27641,28359,36,22
132,27645,28359,35,20
133,27642,28350,35,19
134,27632,28358,35,20
135,27631,28360,35,23
136,27622,28366,36,20
137,27621,28364,37,21
138,27621,28362,36,20
139,27617,28363,35,21
140,27615,28365,35,22
141,27608,28362,35,21
142,27606,28364,37,19
143,27609,28367,38,20
144,27607,28368,37,20
145,27601,28364,37,21
146,27600,28359,37,20
147,27599,28358,36,22
148,27598,28365,37,22
149,27608,28359,37,21
150,27602,28364,36,20
151,27612,28369,36,21
152,27620,28356,37,19
153,27614,28365,36,21
154,27621,28362,36,20
155,27617,28355,37,20
156,27617,28359,36,20
157,27626,28354,37,20
158,27625,28356,36,21
159,27626,28358,36,21
160,27624,28356,34,20
161,27626,28361,35,20
162,27632,28361,37,22
163,27628,28362,36,21
164,27627,28361,35,20
165,27627,28364,38,20
166,27634,28360,36,20
167,27636,28365,36,22
168,27637,28356,35,20
169,27628,28367,34,22
170,27640,28363,35,21
171,27641,28360,37,21
172,27643,28363,35,23
173,27643,28366,37,21
174,27643,28366,36,20
175,27646,28366,36,20
176,27653,28367,36,21
177,27653,28355,35,21
178,27641,28356,36,20
179,27642,28361,35,20
180,27647,28369,35,21
181,27660,28365,36,21
182,27655,28365,38,20
183,27653,28363,36,22
184,27656,28362,36,19
185,27655,28365,37,20
186,27658,28367,35,20
187,27655,28367,36,19
