VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,31137,15682,38,0
1,31084,15680,37,0
2,31075,15679,38,0
3,31056,15678,37,0
4,31057,15678,37,0
5,31043,15669,38,0
6,31031,15675,37,0
7,31042,15669,37,0
8,31021,15666,36,0
9,31033,15658,37,0
10,31023,15651,38,0
11,31011,15649,39,0
12,31024,15643,37,0
13,31014,15640,37,0
14,31023,15645,39,0
15,31027,15639,38,0
16,31018,15635,37,0
17,31031,15634,38,0
18,31021,15633,37,0
19,31020,15635,37,0
20,31028,15630,37,0
21,31030,15625,36,0
22,31039,15617,39,0
23,31034,15619,38,0
24,31044,15613,36,0
25,31052,15607,38,0
26,31054,15598,37,0
27,31066,15588,38,0
28,31055,15580,36,0
29,31060,15580,37,0
30,31069,15566,38,0
31,31058,15559,38,0
32,31067,15558,39,0
33,31070,15538,37,0
34,31053,15544,37,0
35,31068,15543,36,0
36,31063,15540,38,0
37,31078,15537,36,0
38,31085,15529,39,0
39,31084,15526,38,0
40,31100,15517,37,0
41,31079,15518,37,0
42,31095,15526,38,0
43,31098,15524,37,0
44,31093,15529,38,0
45,31105,15527,36,0
46,31093,15536,36,0
47,31103,15551,36,0
48,31109,15552,37,0
49,31103,15571,38,0
50,31124,15575,39,0
51,31115,15582,38,0
52,31112,15595,38,0
53,31120,15606,38,0
54,31115,15628,38,0
55,31134,15636,38,0
56,31128,15650,38,0
57,31140,15661,36,0
58,31140,15672,38,0
59,31135,15678,36,0
60,31132,15683,39,0
61,31126,15684,37,0
62,31116,15693,38,0
63,31113,15699,38,0
64,31095,15701,36,0
65,31089,15695,38,0
66,31074,15688,36,0
67,31063,15680,38,0
68,31065,15676,38,0
69,31048,15677,37,0
70,31051,15688,37,0
71,31051,15691,39,0
72,31039,15696,37,0
73,31049,15696,38,0
74,31041,15697,37,0
75,31046,15709,40,0
76,31048,15717,39,0
77,31043,15735,37,0
78,31056,15739,37,0
79,31049,15746,38,0
80,31057,15756,39,0
81,31067,15761,39,0
82,31071,15760,38,0
83,31081,15764,38,0
84,31084,15751,37,0
85,31084,15752,38,0
86,31094,15748,36,0
87,31090,15750,38,0
88,31099,15757,38,0
89,31097,15751,36,0
90,31087,15766,36,0
91,31103,15765,37,0
92,31090,15763,36,0
93,31100,15762,37,0
94,31084,15762,38,0
95,31095,15760,36,0
96,31110,15756,35,0
97,31099,15764,37,0
98,31124,15767,37,0
99,31113,15771,37,0
100,31118,15782,38,0
101,31124,15787,35,0
102,31112,15784,37,0
103,31122,15797,37,0
104,31124,15795,36,0
105,31117,15805,36,0
106,31139,15808,37,0
107,31128,15816,38,0
108,31148,15824,37,0
109,31151,15820,37,0
110,31136,15825,37,0
111,31153,15830,38,0
112,31141,15827,38,0
