VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,23792,32120,37,20
1,23754,20210,40,21
2,23752,20215,38,22
3,23750,20212,37,20
4,23742,20215,38,20
5,23741,20214,38,21
6,23741,20217,40,20
7,23739,20214,39,20
8,23729,20211,40,21
9,23723,20215,40,21
10,23723,20211,41,20
11,23721,20216,38,20
12,23726,20218,38,21
13,23721,20212,38,20
14,23713,20218,39,22
15,23716,20220,39,21
16,23712,20215,36,22
17,23706,20222,39,20
18,23711,20222,38,22
19,23709,20220,38,20
20,23706,20218,38,19
21,23700,20216,38,22
22,23696,20220,38,21
23,23697,20216,39,20
24,23695,20221,38,21
25,23699,20222,38,22
26,23701,20222,40,21
27,23703,20222,40,21
28,23709,20223,38,23
29,23709,20223,39,22
30,23706,20221,41,22
31,23702,20225,37,22
32,23709,20224,40,21
33,23706,20226,39,22
34,23710,20222,39,22
35,23707,20223,40,22
36,23706,20224,39,21
37,23707,20220,39,21
38,23707,20227,40,20
39,23714,20228,39,21
40,23711,20228,40,21
41,23705,20224,40,22
42,23701,20224,37,22
43,23704,20225,39,21
44,23701,20224,39,21
45,23700,20226,39,21
46,23699,20224,39,23
47,23700,20225,39,22
48,23698,20220,39,19
49,23689,20228,38,21
50,23692,20222,39,21
51,23683,20224,38,19
52,23684,20223,39,21
53,23688,20219,39,22
54,23683,20222,39,19
55,23685,20221,40,20
56,23687,20222,38,21
57,23687,20226,38,20
58,23693,20223,38,22
59,23691,20225,39,21
60,23692,20222,38,22
61,23690,20219,39,22
62,23688,20223,39,22
63,23686,20230,40,21
64,23688,20228,40,21
65,23685,20226,37,21
66,23686,20230,39,20
67,23688,20232,37,22
68,23695,20222,38,20
69,23684,20225,38,20
70,23690,20226,39,19
71,23696,20226,38,21
72,23694,20220,40,21
73,23692,20216,39,20
74,23686,20218,38,21
75,23687,20217,39,22
76,23695,20217,40,20
77,23695,20214,39,23
78,23699,20217,39,20
79,23706,20218,39,21
80,23712,20215,40,21
81,23713,20214,39,23
82,23713,20219,38,21
83,23723,20212,39,21
84,23723,20211,40,22
85,23725,20213,39,22
86,23727,20219,39,21
87,23736,20214,38,21
88,23736,20214,39,20
89,23746,20213,37,23
90,23744,20210,39,21
91,23741,20212,40,20
92,23737,20213,38,21
93,23736,20212,38,20
94,23734,20214,38,21
95,23729,20212,40,19
96,23713,20211,39,21
97,23703,20212,39,19
98,23700,20205,39,21
99,23691,20211,39,21
100,23694,20204,38,22
101,23689,20211,40,22
102,23693,20209,38,20
103,23693,20211,39,21
104,23693,20210,39,19
105,23690,20206,38,21
106,23681,20207,38,21
107,23680,20202,37,20
108,23677,20204,39,21
109,23676,20204,38,21
110,23673,20200,39,21
111,23670,20199,39,21
112,23676,20198,38,20
113,23686,20197,38,22
114,23695,20196,38,22
115,23699,20199,38,21
116,23716,20199,38,21
117,23723,20194,40,19
118,23729,20194,39,20
119,23727,20192,39,21
120,23720,20195,38,20
121,23727,20194,40,20
122,23732,20193,38,21
123,23732,20191,37,21
124,23731,20190,38,20
125,23729,20190,38,21
126,23739,20192,37,21
127,23747,20198,38,20
128,23760,20194,38,20
129,23760,20197,39,20
130,23764,20195,38,21
131,23764,20195,36,20
132,23767,20191,40,22
133,23761,20197,39,21
134,23764,20193,37,20
135,23760,20190,37,21
136,23760,20194,39,20
