VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,26954,28201,46,16
1,26944,28166,48,15
2,26921,28132,46,16
3,26901,28109,46,15
4,26886,28076,46,15
5,26855,28057,47,14
6,26834,28050,47,15
7,26817,28036,46,16
8,26795,28016,47,15
9,26759,28022,48,16
10,26742,28028,46,15
11,26727,28039,47,16
12,26708,28059,45,16
13,26705,28080,46,16
14,26705,28103,47,16
15,26709,28132,48,16
16,26727,28154,47,15
17,26740,28171,47,15
18,26752,28194,45,16
19,26780,28193,47,16
20,26788,28190,48,16
21,26798,28191,46,15
22,26809,28179,47,16
23,26810,28182,46,16
24,26827,28163,46,16
25,26817,28168,46,15
26,26831,28165,47,15
27,26835,28173,46,16
28,26843,28178,46,16
29,26852,28182,47,16
30,26859,28197,48,14
31,26875,28215,47,16
32,26898,28221,46,16
33,26903,28234,46,17
34,26920,28265,46,15
35,26954,28274,48,17
36,26969,28287,46,17
37,26990,28299,47,16
38,27006,28309,47,16
39,27024,28320,46,15
40,27038,28328,46,15
41,27048,28340,46,15
42,27068,28345,46,14
43,27072,28346,47,15
44,27079,28343,45,15
45,27080,28352,47,15
46,27090,28359,45,16
47,27097,28362,46,16
48,27104,28358,47,14
49,27106,28365,46,16
50,27121,28362,46,15
51,27125,28365,47,16
52,27138,28356,48,16
53,27140,28357,47,13
54,27152,28355,46,16
55,27162,28338,46,15
56,27154,28340,47,16
57,27171,28345,46,16
58,27180,28336,46,15
59,27181,28333,47,16
60,27189,28324,46,16
61,27181,28331,47,17
62,27195,28320,47,16
63,27185,28315,47,16
64,27184,28317,45,15
65,27189,28305,48,15
66,27183,28317,48,16
67,27200,28313,47,14
68,27197,28306,47,15
69,27193,28310,46,15
70,27209,28301,47,14
71,27207,28291,46,16
72,27209,28281,47,18
73,27206,28262,46,16
74,27199,28262,47,17
75,27210,28244,46,17
76,27198,28232,48,14
77,27194,28226,46,15
78,27192,28219,47,15
79,27186,28214,46,15
80,27180,28204,47,15
81,27168,28205,46,15
82,27167,28215,47,15
83,27170,28210,48,16
84,27163,28231,47,14
85,27173,28225,48,15
86,27163,28237,48,16
87,27165,28253,49,16
88,27173,28253,47,15
89,27162,28272,47,15
90,27173,28276,48,15
91,27168,28287,46,16
92,27174,28294,46,15
93,27175,28299,46,15
94,27173,28309,47,16
95,27179,28302,46,15
96,27169,28311,47,15
97,27168,28320,47,14
98,27176,28309,47,16
99,27162,28318,48,15
100,27171,28321,45,16
101,27171,28306,46,16
102,27164,28312,47,15
103,27169,28298,46,17
104,27157,28290,47,16
105,27151,28290,48,17
106,27154,28273,46,16
107,27140,28273,46,16
108,27143,28265,48,16
109,27132,28263,48,16
110,27135,28262,48,14
111,27131,28246,48,17
112,27118,28251,46,16
113,27126,28245,47,15
114,27118,28246,47,16
115,27122,28238,46,16
116,27110,28240,47,17
117,27110,28235,47,15
118,27106,28241,47,16
119,27109,28244,46,15
120,27111,28240,47,17
121,27107,28242,46,16
122,27099,28250,47,16
123,27106,28256,47,14
124,27107,28261,47,16
125,27111,28271,49,15
126,27120,28270,47,16
127,27114,28271,47,16
128,27111,28278,47,16
129,27113,28282,48,14
130,27110,28295,48,16
131,27115,28296,48,14
132,27107,28300,48,15
133,27109,28299,48,16
134,27107,28303,48,15
135,27107,28308,48,16
136,27115,28300,48,15
137,27107,28297,46,15
138,27105,28295,46,15
139,27105,28296,47,15
140,27104,28299,47,14
141,27113,28294,47,15
142,27108,28298,45,15
143,27115,28302,49,15
144,27120,28294,47,15
145,27110,28299,47,16
146,27118,28290,47,16
147,27105,28294,46,17
148,27109,28299,47,15
149,27109,28297,48,15
150,27105,28298,48,15
151,27103,28296,47,15
152,27096,28293,45,16
153,27091,28295,48,16
154,27092,28289,47,15
155,27081,28292,45,16
156,27081,28290,47,14
157,27074,28292,46,15
158,27072,28301,46,17
159,27071,28305,48,16
160,27068,28317,46,16
161,27075,28329,47,15
162,27079,28322,47,14
163,27063,28336,48,14
164,27076,28329,46,16
165,27065,28331,48,16
166,27066,28341,47,15
167,27075,28345,48,16
168,27075,28357,47,16
169,27086,28361,45,15
170,27092,28359,48,15
171,27095,28361,47,16
172,27101,28373,46,16
173,27116,28374,48,16
174,27123,28376,48,15
175,27125,28381,46,16
176,27132,28391,48,14
177,27150,28394,46,14
178,27152,28399,47,14
179,27160,28405,46,16
180,27170,28403,47,16
181,27167,28429,47,16
182,27193,28430,47,16
183,27192,28444,45,15
184,27211,28455,47,14
185,27219,28458,44,15
186,27225,28467,47,15
187,27242,28462,47,16
188,27237,28462,45,16
189,27239,28457,47,16
190,27240,28454,46,16
191,27240,28454,48,16
192,27249,28447,47,15
193,27247,28436,48,15
194,27245,28441,46,17
195,27252,28424,48,16
196,27238,28442,46,16
197,27256,28428,48,14
198,27245,28430,46,14
199,27250,28434,46,14
200,27254,28431,47,15
201,27252,28425,46,16
202,27247,28423,47,17
203,27242,28423,47,16
204,27239,28423,47,14
205,27241,28414,46,16
206,27231,28422,48,15
207,27238,28422,48,13
208,27237,28420,48,15
209,27233,28421,46,15
210,27237,28418,47,15
211,27230,28416,48,15
212,27230,28416,48,14
213,27226,28415,48,17
214,27228,28421,47,16
215,27232,28420,46,17
216,27230,28420,47,15
217,27231,28414,46,16
218,27227,28410,47,17
219,27222,28405,46,15
220,27222,28403,46,15
221,27219,28400,48,15
222,27215,28405,49,16
223,27219,28403,48,16
224,27218,28410,47,15
225,27227,28396,47,14
226,27213,28406,46,15
227,27223,28410,48,14
228,27227,28409,48,15
229,27219,28417,48,14
230,27225,28415,48,16
231,27218,28428,48,16
232,27223,28438,48,17
233,27229,28443,46,15
234,27230,28451,47,16
235,27234,28445,46,15
236,27230,28447,47,16
237,27236,28450,47,16
238,27244,28440,47,15
239,27237,28436,47,14
240,27239,28437,48,15
241,27241,28435,46,14
242,27241,28444,46,14
243,27252,28439,46,15
244,27246,28441,47,15
245,27256,28434,46,16
246,27250,28427,46,16
247,27246,28428,47,15
248,27253,28424,46,14
249,27249,28425,45,15
250,27252,28422,46,15
251,27253,28416,47,16
252,27249,28425,47,16
253,27257,28417,49,16
254,27249,28418,47,14
255,27250,28422,48,15
256,27253,28426,47,15
257,27256,28430,47,13
258,27261,28427,48,15
259,27261,28431,48,17
260,27264,28433,47,14
261,27268,28419,48,15
262,27255,28425,47,15
263,27260,28425,46,15
264,27263,28421,47,15
265,27259,28426,47,15
266,27263,28430,48,16
267,27264,28428,47,16
268,27263,28427,48,15
269,27262,28424,48,16
270,27259,28425,47,15
271,27264,28414,47,15
272,27255,28414,47,15
273,27256,28416,47,17
274,27261,28406,46,15
275,27249,28407,49,15
276,27256,28405,47,15
277,27254,28400,48,15
278,27252,28406,47,17
279,27259,28398,46,16
280,27254,28399,47,15
281,27256,28394,46,15
282,27251,28394,46,16
283,27250,28396,47,14
284,27250,28401,48,15
285,27252,28396,46,15
286,27251,28399,47,15
287,27253,28399,48,16
288,27253,28406,46,16
289,27260,28402,46,15
290,27256,28401,47,15
291,27260,28391,47,16
292,27251,28390,46,14
293,27255,28392,49,17
294,27258,28383,46,17
295,27251,28387,47,16
296,27260,28369,46,15
297,27244,28373,48,16
298,27248,28373,48,16
299,27249,28364,47,15
300,27239,28377,48,16
301,27250,28373,46,16
302,27247,28372,47,14
303,27243,28379,47,14
304,27250,28371,48,15
305,27244,28377,48,17
306,27249,28369,48,16
307,27240,28373,47,17
308,27245,28379,47,17
309,27252,28371,47,16
310,27244,28367,48,15
311,27239,28374,49,13
312,27247,28367,48,15
313,27239,28370,47,15
314,27243,28363,48,14
315,27235,28369,48,14
316,27243,28362,47,15
317,27233,28363,48,15
318,27230,28368,48,17
319,27236,28363,45,15
320,27231,28369,46,14
321,27235,28377,47,15
322,27245,28367,46,16
323,27229,28375,48,15
324,27234,28391,46,16
325,27246,28393,45,16
326,27243,28389,47,15
327,27238,28390,47,14
328,27236,28398,46,16
329,27245,28398,46,15
330,27240,28392,48,15
331,27237,28405,46,16
332,27247,28395,47,14
333,27235,28407,45,16
334,27247,28407,47,15
335,27246,28405,48,15
336,27246,28410,46,16
337,27252,28405,47,15
338,27248,28400,48,15
339,27250,28411,48,14
340,27257,28403,46,15
341,27249,28421,47,14
342,27269,28408,48,16
343,27255,28405,47,16
344,27254,28407,48,16
345,27258,28404,45,16
346,27258,28404,46,16
347,27262,28394,46,14
348,27257,28379,47,15
349,27252,28379,47,15
350,27256,28367,47,16
351,27246,28364,48,15
352,27252,28358,46,15
353,27248,28353,47,17
354,27249,28350,49,16
355,27252,28346,47,13
356,27249,28338,47,16
357,27244,28340,47,16
358,27247,28340,46,16
359,27247,28338,46,15
360,27248,28335,47,15
361,27243,28343,46,15
362,27248,28339,47,15
363,27242,28339,47,16
364,27240,28353,47,16
365,27256,28344,47,14
366,27246,28347,46,15
367,27249,28352,47,14
368,27258,28347,45,14
369,27253,28344,45,14
370,27253,28341,46,15
371,27254,28342,45,15
372,27258,28338,46,15
373,27254,28333,45,15
374,27249,28335,47,15
375,27254,28331,47,17
376,27247,28331,47,15
377,27247,28338,48,15
378,27251,28334,45,16
379,27247,28340,48,15
380,27252,28343,48,16
381,27252,28338,46,15
382,27245,28352,46,14
383,27256,28348,46,15
384,27249,28350,46,14
385,27252,28347,46,16
386,27244,28355,47,16
387,27247,28359,48,15
388,27252,28351,47,14
389,27241,28365,46,16
390,27255,28360,47,15
391,27246,28358,48,15
392,27248,28363,45,16
393,27255,28362,47,16
394,27251,28356,49,17
395,27255,28350,48,14
396,27250,28350,48,15
397,27254,28349,46,16
398,27258,28336,45,16
399,27250,28339,46,15
400,27261,28337,46,15
401,27263,28330,48,15
402,27261,28327,47,16
403,27264,28322,47,15
404,27262,28324,47,14
405,27266,28332,47,15
406,27273,28324,47,15
407,27266,28341,47,16
408,27285,28331,48,15
409,27274,28338,46,15
410,27281,28344,46,16
411,27284,28350,47,15
412,27286,28355,47,15
413,27293,28360,47,15
414,27295,28367,46,17
415,27303,28375,46,17
416,27308,28370,47,17
417,27306,28379,48,15
418,27322,28378,46,14
419,27322,28376,46,15
420,27324,28381,46,16
421,27336,28373,47,17
422,27334,28374,46,15
423,27336,28378,46,16
424,27347,28366,46,16
425,27337,28371,47,15
426,27351,28364,47,16
427,27342,28364,48,16
428,27347,28362,48,16
429,27351,28357,47,16
430,27353,28351,48,15
431,27352,28340,47,17
432,27345,28342,47,15
433,27351,28343,45,16
434,27358,28326,48,16
435,27345,28338,46,15
436,27361,28333,46,16
437,27355,28334,45,15
438,27357,28344,47,16
439,27367,28339,47,16
440,27358,28343,47,16
441,27363,28351,47,15
442,27367,28350,47,14
443,27366,28356,46,15
444,27371,28352,47,14
445,27363,28356,47,14
446,27369,28361,47,17
447,27368,28363,47,16
448,27370,28361,47,15
449,27368,28365,46,16
450,27369,28379,47,16
451,27381,28379,47,16
452,27374,28373,46,17
453,27372,28384,47,16
454,27385,28380,48,15
455,27375,28386,48,15
456,27382,28385,48,15
457,27380,28373,48,15
458,27369,28380,47,16
459,27376,28377,47,17
460,27377,28371,48,16
461,27377,28371,46,16
462,27376,28368,47,15
463,27372,28363,46,17
464,27371,28363,47,16
465,27370,28362,46,16
466,27373,28357,47,16
467,27370,28351,46,16
468,27369,28349,46,13
469,27370,28345,45,17
470,27365,28344,46,16
471,27367,28345,46,16
472,27372,28342,47,16
473,27367,28338,47,14
474,27365,28335,47,15
475,27362,28333,46,17
476,27360,28334,47,15
477,27365,28328,45,15
478,27358,28334,46,14
479,27362,28330,47,17
480,27360,28334,47,17
481,27362,28338,45,16
482,27366,28335,47,14
483,27360,28338,45,14
484,27362,28342,47,14
485,27364,28339,46,15
486,27360,28342,45,15
487,27365,28345,47,15
488,27364,28337,46,15
489,27362,28345,47,15
490,27373,28337,48,16
491,27362,28344,46,14
492,27374,28339,47,15
493,27366,28332,45,14
494,27359,28343,46,14
495,27371,28335,47,15
496,27363,28333,47,15
497,27361,28336,48,16
498,27363,28338,46,16
499,27368,28337,48,17
500,27372,28322,47,15
501,27359,28331,46,15
502,27375,28324,46,15
503,27373,28325,48,16
504,27379,28323,48,16
505,27378,28315,45,16
506,27375,28322,46,15
507,27379,28323,47,16
508,27380,28320,46,15
509,27375,28334,46,16
510,27385,28333,47,14
511,27381,28346,48,13
512,27395,28354,47,15
513,27404,28365,47,17
514,27416,28376,47,16
515,27432,28375,48,16
516,27431,28392,45,14
517,27447,28401,46,15
518,27457,28405,46,17
519,27463,28414,45,15
520,27477,28423,46,16
521,27481,28436,46,15
522,27500,28443,45,15
523,27508,28434,47,15
524,27508,28438,46,14
525,27524,28428,47,15
526,27526,28421,47,15
527,27535,28424,46,14
528,27551,28401,48,16
529,27540,28395,47,16
530,27546,28370,47,16
531,27537,28351,47,16
532,27527,28342,46,17
533,27526,28317,48,15
534,27511,28300,47,16
535,27504,28291,46,16
536,27501,28278,46,16
537,27490,28278,47,14
538,27486,28278,45,15
539,27484,28274,48,16
540,27477,28276,46,16
541,27475,28277,47,15
542,27478,28285,46,16
543,27478,28298,47,17
544,27480,28305,47,14
545,27479,28316,47,14
546,27480,28323,46,16
547,27481,28328,46,16
548,27484,28328,46,15
549,27480,28328,48,14
550,27487,28320,48,15
551,27486,28315,46,15
552,27481,28324,46,15
553,27495,28322,46,15
554,27489,28333,47,15
555,27500,28345,47,15
556,27506,28355,47,17
557,27510,28381,46,15
558,27532,28388,47,15
559,27531,28389,48,16
560,27532,28395,47,16
561,27539,28406,46,15
562,27542,28418,46,16
563,27549,28430,45,16
564,27550,28445,46,18
565,27553,28471,48,15
566,27566,28491,47,14
567,27567,28517,47,15
568,27581,28550,47,14
569,27598,28549,46,16
570,27586,28575,47,17
571,27601,28589,48,16
572,27601,28610,47,15
573,27612,28628,48,15
574,27619,28629,47,15
575,27617,28636,48,16
