VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,25275,18255,36,0
1,25278,18265,37,0
2,25282,18273,36,0
3,25285,18282,37,0
4,25289,18275,36,0
5,25278,18281,36,0
6,25290,18275,37,0
7,25284,18275,35,0
8,25283,18271,37,0
9,25281,18268,36,0
10,25282,18268,35,0
11,25284,18261,36,0
12,25283,18257,36,0
13,25279,18255,37,0
14,25279,18255,36,0
15,25275,18248,35,0
16,25276,18243,36,0
17,25277,18249,37,0
18,25283,18252,36,0
19,25290,18243,36,0
20,25284,18247,36,0
21,25280,18247,35,0
22,25283,18238,37,0
23,25272,18248,36,0
24,25285,18244,37,0
25,25276,18236,37,0
26,25270,18238,36,0
27,25268,18239,36,0
28,25265,18246,37,0
29,25271,18244,38,0
30,25269,18253,38,0
31,25271,18250,36,0
32,25270,18250,37,0
33,25273,18252,37,0
34,25273,18250,38,0
35,25274,18246,35,0
36,25272,18245,36,0
37,25271,18246,37,0
38,25272,18249,36,0
39,25275,18243,36,0
40,25267,18245,36,0
41,25273,18242,35,0
42,25270,18238,37,0
43,25265,18245,37,0
44,25277,18236,36,0
45,25272,18235,36,0
46,25274,18237,36,0
47,25282,18225,36,0
48,25271,18222,37,0
49,25275,18218,36,0
50,25275,18214,38,0
51,25272,18211,36,0
52,25278,18199,35,0
53,25273,18201,36,0
54,25274,18197,35,0
55,25269,18191,37,0
56,25262,18195,36,0
57,25265,18194,38,0
58,25259,18199,38,0
59,25261,18205,37,0
60,25260,18211,37,0
61,25257,18227,37,0
62,25268,18237,36,0
63,25270,18259,37,0
64,25278,18274,37,0
65,25280,18279,36,0
66,25277,18295,37,0
67,25284,18295,36,0
68,25285,18294,37,0
69,25282,18293,37,0
70,25287,18284,36,0
71,25285,18286,37,0
72,25288,18284,37,0
73,25291,18276,38,0
74,25286,18275,36,0
75,25289,18263,37,0
76,25281,18266,36,0
77,25289,18259,36,0
78,25285,18251,35,0
79,25283,18246,36,0
80,25288,18241,36,0
81,25285,18242,38,0
82,25290,18236,38,0
83,25283,18235,36,0
84,25275,18232,36,0
85,25272,18229,37,0
86,25270,18235,37,0
87,25270,18238,36,0
88,25267,18237,35,0
89,25267,18241,36,0
90,25265,18242,37,0
91,25265,18248,36,0
92,25271,18245,37,0
93,25269,18241,37,0
94,25264,18248,37,0
95,25271,18250,37,0
96,25272,18253,38,0
97,25276,18254,36,0
98,25276,18248,37,0
99,25271,18256,35,0
100,25277,18257,37,0
