PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 1 Voltage: 0.00
PGA Gain Setting: 7
LED Wavelength: LED Green
PPG Channel: 2
DAC Value: 1 Voltage: 0.00
PGA Gain Setting: 7
LED Wavelength: LED Green

BioZ Settings
"BioZ Carrier Frequency:	17000 Hz"
"Current Setting:	Off"


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 100
Sample Time: 10
Desired Samples: 1000

Start Tick: 122104 at 12-33-16.330 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
0,10151,5073,38,0
1,10070,5070,40,0
2,10061,5070,41,0
3,10050,5071,38,0
4,10074,5071,39,0
5,10054,5070,38,0
6,10074,5070,38,0
7,10081,5070,39,0
8,10070,5071,39,0
9,10098,5070,39,0
10,10098,5071,39,0
11,10105,5071,38,0
12,10123,5073,40,0
13,10110,5071,39,0
14,10132,5069,39,0
15,10123,5072,39,0
16,10135,5072,40,0
17,10143,5074,40,0
18,10131,5072,39,0
19,10150,5071,39,0
20,10140,5071,39,0
21,10134,5071,39,0
22,10150,5073,39,0
23,10144,5071,39,0
24,10153,5072,39,0
25,10153,5071,40,0
26,10142,5072,39,0
27,10165,5073,40,0
28,10166,5070,40,0
29,10175,5071,39,0
30,10185,5073,40,0
31,10178,5074,39,0
32,10205,5073,39,0
33,10196,5073,39,0
34,10214,5071,40,0
35,10224,5071,39,0
36,10221,5072,39,0
37,10250,5073,39,0
38,10239,5072,39,0
39,10250,5073,39,0
40,10274,5071,38,0
41,10262,5074,38,0
42,10292,5073,39,0
43,10291,5073,40,0
44,10301,5075,38,0
45,10323,5072,39,0
46,10317,5073,41,0
47,10329,5075,40,0
48,10329,5072,39,0
49,10324,5076,39,0
50,10332,5072,40,0
51,10296,5071,39,0
52,10293,5072,39,0
53,10253,5070,40,0
54,10226,5071,40,0
55,10213,5073,38,0
56,10167,5072,37,0
57,10155,5072,39,0
58,10132,5069,39,0
59,10107,5072,41,0
60,10104,5069,40,0
61,10071,5067,38,0
62,10074,5071,40,0
63,10067,5069,39,0
64,10047,5071,39,0
65,10072,5068,40,0
66,10065,5067,39,0
67,10063,5069,40,0
68,10080,5068,40,0
69,10074,5070,38,0
70,10099,5071,40,0
71,10091,5071,40,0
72,10101,5073,39,0
73,10118,5072,39,0
74,10117,5071,40,0
75,10133,5070,38,0
76,10132,5069,39,0
77,10129,5069,39,0
78,10137,5071,39,0
79,10125,5071,39,0
80,10147,5071,40,0
81,10144,5072,41,0
82,10141,5072,41,0
83,10155,5070,40,0
84,10139,5069,40,0
85,10142,5071,38,0
86,10150,5069,38,0
87,10142,5072,41,0
88,10163,5070,39,0
89,10148,5071,40,0
90,10164,5071,41,0
91,10168,5070,40,0
92,10158,5070,39,0
93,10180,5071,39,0
94,10175,5074,40,0
95,10182,5070,39,0
96,10193,5071,40,0
97,10188,5072,41,0
98,10215,5072,40,0
99,10209,5072,40,0
100,10224,5070,40,0
101,10236,5069,40,0
102,10222,5073,40,0
103,10252,5071,39,0
104,10258,5071,41,0
105,10256,5073,39,0
106,10275,5071,41,0
107,10262,5071,39,0
108,10289,5071,39,0
109,10282,5072,40,0
110,10278,5074,40,0
111,10276,5071,39,0
112,10237,5073,40,0
113,10231,5072,38,0
114,10203,5068,38,0
115,10174,5069,38,0
116,10162,5069,39,0
117,10107,5069,40,0
118,10098,5069,39,0
119,10072,5071,39,0
120,10049,5069,40,0
121,10047,5069,40,0
122,10027,5068,40,0
123,10020,5070,41,0
124,10020,5069,39,0
125,10008,5070,40,0
126,10031,5069,41,0
127,10022,5069,40,0
128,10027,5068,39,0
129,10036,5066,37,0
130,10034,5068,38,0
131,10060,5069,39,0
132,10049,5068,38,0
133,10061,5070,40,0
134,10085,5069,41,0
135,10077,5067,39,0
136,10095,5070,39,0
137,10089,5067,40,0
138,10094,5070,39,0
139,10110,5070,39,0
140,10101,5070,40,0
141,10104,5070,38,0
142,10107,5069,39,0
143,10098,5071,40,0
144,10121,5068,40,0
145,10105,5071,39,0
146,10118,5071,40,0
147,10110,5070,39,0
148,10112,5071,39,0
149,10129,5068,42,0
150,10111,5071,40,0
151,10129,5072,39,0
152,10133,5071,40,0
153,10126,5072,38,0
154,10154,5069,38,0
155,10145,5070,41,0
156,10155,5071,39,0
157,10163,5070,39,0
158,10156,5069,38,0
159,10170,5071,41,0
160,10186,5071,39,0
161,10188,5073,41,0
162,10213,5070,39,0
163,10197,5072,40,0
164,10227,5072,40,0
165,10227,5073,39,0
166,10237,5073,40,0
167,10251,5073,39,0
168,10242,5072,39,0
169,10256,5072,37,0
170,10240,5072,41,0
171,10233,5073,38,0
172,10230,5071,40,0
173,10193,5070,40,0
174,10179,5071,40,0
175,10148,5071,39,0
176,10113,5071,39,0
177,10095,5070,39,0
178,10053,5069,39,0
179,10033,5069,38,0
180,10017,5069,40,0
181,9999,5067,40,0
182,10008,5067,38,0
183,9981,5069,39,0
184,9982,5069,40,0
185,9973,5066,39,0
186,9958,5068,40,0
187,9978,5068,38,0
188,9961,5068,40,0
189,9970,5069,39,0
190,9986,5067,38,0
191,9975,5068,39,0
192,10000,5067,39,0
193,9996,5069,39,0
194,10004,5068,39,0
195,10019,5067,40,0
196,10012,5066,40,0
197,10022,5068,41,0
198,10029,5069,40,0
199,10022,5067,39,0
200,10042,5068,38,0
201,10027,5068,39,0
202,10041,5069,39,0
203,10033,5068,41,0
204,10024,5068,40,0
205,10038,5067,40,0
206,10026,5067,40,0
207,10034,5069,38,0
208,10037,5068,39,0
209,10027,5068,39,0
210,10052,5069,39,0
211,10035,5068,39,0
212,10045,5067,39,0
213,10050,5068,39,0
214,10042,5066,39,0
215,10061,5069,39,0
216,10064,5069,38,0
217,10073,5069,38,0
218,10087,5068,39,0
219,10082,5069,39,0
220,10106,5068,40,0
221,10104,5070,40,0
222,10111,5070,39,0
223,10134,5069,41,0
224,10126,5070,39,0
225,10154,5071,39,0
226,10153,5070,40,0
227,10156,5070,41,0
228,10173,5070,40,0
229,10163,5070,39,0
230,10175,5070,40,0
231,10157,5071,40,0
232,10133,5072,40,0
233,10125,5071,39,0
234,10081,5068,39,0
235,10055,5070,38,0
236,10034,5067,39,0
237,9989,5069,37,0
238,9984,5069,39,0
239,9936,5068,38,0
240,9922,5070,39,0
241,9905,5067,38,0
242,9877,5068,40,0
243,9883,5065,40,0
244,9852,5066,40,0
245,9850,5066,39,0
246,9854,5065,39,0
247,9838,5066,40,0
248,9854,5063,41,0
249,9842,5063,39,0
250,9845,5066,39,0
251,9866,5065,40,0
252,9859,5068,39,0
253,9883,5067,39,0
254,9889,5066,40,0
255,9883,5066,38,0
256,9908,5065,39,0
257,9893,5071,40,0
258,9917,5068,39,0
259,9913,5068,39,0
260,9909,5068,40,0
261,9926,5067,39,0
262,9909,5068,38,0
263,9924,5066,39,0
264,9910,5067,39,0
265,9914,5068,39,0
266,9927,5066,41,0
267,9916,5067,39,0
268,9920,5068,36,0
269,9928,5066,38,0
270,9921,5068,40,0
271,9936,5066,40,0
272,9933,5066,39,0
273,9938,5067,39,0
274,9948,5067,40,0
275,9946,5069,39,0
276,9964,5067,40,0
277,9954,5066,38,0
278,9971,5069,39,0
279,9981,5067,41,0
280,9970,5070,39,0
281,10005,5068,39,0
282,9996,5067,39,0
283,10004,5067,39,0
284,10018,5066,39,0
285,10011,5069,39,0
286,10036,5068,38,0
287,10039,5066,40,0
288,10038,5067,38,0
289,10059,5069,41,0
290,10046,5068,38,0
291,10044,5068,40,0
292,10040,5067,39,0
293,10010,5070,39,0
294,10008,5071,39,0
295,9964,5067,40,0
296,9946,5067,40,0
297,9909,5067,39,0
298,9877,5067,39,0
299,9869,5064,39,0
300,9828,5066,38,0
301,9816,5066,38,0
302,9796,5064,39,0
303,9772,5065,39,0
304,9783,5066,41,0
305,9764,5062,39,0
306,9758,5064,39,0
307,9768,5063,38,0
308,9758,5062,39,0
309,9763,5063,40,0
310,9767,5062,37,0
311,9770,5064,38,0
312,9784,5064,39,0
313,9776,5064,39,0
314,9807,5066,39,0
315,9808,5064,41,0
316,9809,5064,40,0
317,9819,5065,40,0
318,9812,5065,40,0
319,9828,5064,40,0
320,9822,5062,39,0
321,9823,5066,40,0
322,9841,5064,40,0
323,9821,5065,39,0
324,9830,5064,39,0
325,9830,5064,40,0
326,9822,5064,40,0
327,9835,5065,39,0
328,9826,5066,39,0
329,9823,5066,39,0
330,9836,5064,40,0
331,9818,5062,39,0
332,9839,5062,41,0
333,9832,5064,37,0
334,9845,5065,40,0
335,9848,5064,40,0
336,9843,5066,41,0
337,9873,5064,38,0
338,9863,5067,39,0
339,9873,5066,39,0
340,9884,5066,38,0
341,9878,5066,39,0
342,9898,5066,39,0
343,9900,5065,39,0
344,9906,5069,38,0
345,9929,5066,39,0
346,9915,5066,40,0
347,9934,5067,39,0
348,9940,5069,39,0
349,9940,5066,39,0
350,9961,5066,38,0
351,9937,5069,39,0
352,9952,5068,39,0
353,9927,5066,40,0
354,9905,5067,40,0
355,9902,5068,39,0
356,9852,5067,41,0
357,9834,5065,38,0
358,9799,5064,40,0
359,9771,5064,40,0
360,9760,5064,39,0
361,9724,5065,40,0
362,9706,5064,38,0
363,9695,5064,39,0
364,9670,5062,39,0
365,9678,5063,39,0
366,9673,5063,38,0
367,9661,5064,40,0
368,9675,5063,40,0
369,9659,5064,40,0
370,9682,5063,38,0
371,9675,5065,38,0
372,9689,5065,40,0
373,9705,5064,38,0
374,9690,5063,39,0
375,9717,5064,39,0
376,9714,5062,38,0
377,9723,5064,38,0
378,9742,5064,40,0
379,9724,5065,39,0
380,9738,5065,39,0
381,9732,5067,39,0
382,9734,5066,37,0
383,9748,5065,38,0
384,9736,5064,40,0
385,9739,5066,40,0
386,9742,5065,39,0
387,9733,5065,41,0
388,9754,5064,39,0
389,9738,5066,38,0
390,9747,5062,40,0
391,9745,5065,41,0
392,9744,5064,40,0
393,9758,5067,40,0
394,9745,5063,39,0
395,9760,5065,39,0
396,9772,5064,39,0
397,9767,5065,39,0
398,9792,5064,41,0
399,9785,5064,38,0
400,9797,5064,38,0
401,9805,5066,39,0
402,9796,5065,38,0
403,9814,5066,38,0
404,9827,5067,39,0
405,9826,5065,39,0
406,9851,5065,40,0
407,9844,5068,39,0
408,9867,5066,39,0
409,9867,5067,39,0
410,9861,5066,40,0
411,9885,5066,38,0
412,9863,5067,40,0
413,9873,5066,39,0
414,9849,5065,39,0
415,9827,5067,39,0
416,9820,5066,39,0
417,9770,5065,39,0
418,9743,5065,39,0
419,9715,5065,38,0
420,9678,5065,38,0
421,9668,5062,40,0
422,9630,5063,39,0
423,9613,5063,40,0
424,9617,5062,39,0
425,9590,5062,39,0
426,9602,5063,40,0
427,9580,5060,39,0
428,9578,5063,39,0
429,9584,5061,40,0
430,9568,5061,38,0
431,9592,5061,38,0
432,9581,5060,39,0
433,9584,5063,38,0
434,9602,5061,38,0
435,9592,5062,39,0
436,9618,5062,38,0
437,9617,5064,39,0
438,9628,5063,39,0
439,9638,5065,38,0
440,9622,5063,40,0
441,9631,5063,40,0
442,9643,5062,39,0
443,9632,5061,39,0
444,9650,5062,38,0
445,9631,5062,39,0
446,9641,5065,38,0
447,9642,5064,39,0
448,9638,5064,39,0
449,9652,5063,39,0
450,9635,5063,40,0
451,9648,5064,40,0
452,9651,5063,39,0
453,9643,5064,39,0
454,9665,5064,39,0
455,9652,5062,39,0
456,9668,5065,39,0
457,9676,5062,38,0
458,9668,5064,39,0
459,9695,5063,39,0
460,9687,5064,39,0
461,9693,5063,39,0
462,9708,5061,38,0
463,9700,5064,38,0
464,9727,5063,39,0
465,9720,5064,39,0
466,9729,5065,40,0
467,9748,5063,38,0
468,9737,5062,40,0
469,9759,5063,38,0
470,9762,5065,39,0
471,9756,5064,38,0
472,9779,5064,38,0
473,9764,5064,37,0
474,9774,5064,38,0
475,9763,5066,39,0
476,9747,5066,39,0
477,9743,5063,39,0
478,9694,5064,38,0
479,9673,5063,39,0
480,9650,5062,38,0
481,9611,5063,39,0
482,9608,5064,38,0
483,9565,5063,39,0
484,9550,5061,39,0
485,9532,5061,40,0
486,9510,5060,40,0
487,9510,5061,38,0
488,9491,5060,39,0
489,9490,5058,40,0
490,9484,5059,39,0
491,9470,5061,39,0
492,9490,5058,39,0
493,9482,5058,38,0
494,9490,5060,38,0
495,9504,5060,37,0
496,9490,5061,38,0
497,9511,5061,39,0
498,9522,5058,39,0
499,9522,5060,39,0
500,9539,5062,40,0
501,9530,5060,38,0
502,9548,5062,39,0
503,9548,5061,38,0
504,9545,5061,40,0
505,9561,5062,39,0
506,9545,5060,41,0
507,9550,5060,38,0
508,9541,5061,38,0
509,9537,5061,41,0
510,9558,5061,39,0
511,9540,5061,39,0
512,9546,5061,39,0
513,9551,5062,38,0
514,9550,5060,38,0
515,9564,5060,38,0
516,9557,5059,39,0
517,9555,5062,40,0
518,9583,5060,39,0
519,9568,5063,39,0
520,9591,5062,40,0
521,9589,5062,38,0
522,9598,5061,38,0
523,9616,5061,37,0
524,9600,5062,37,0
525,9626,5063,38,0
526,9624,5062,37,0
527,9636,5064,39,0
528,9653,5062,38,0
