SampleCount,PPG1,PPG2,BioZ1,BioZ2,GAIN1,GAIN2,DAC1,DAC2
VAL,PPG1,PPG2,BIOZ1,BIOZ2
0,23827,31021,44,16,7,7,0,0
1,23820,31030,44,17
2,23825,31031,45,15
3,23828,31023,44,16
4,23820,31031,43,17
5,23825,31030,42,16
6,23823,31034,44,16
7,23827,31044,43,18
8,23829,31037,44,15
9,23824,31049,42,16
10,23834,31049,42,17
11,23829,31052,43,16
12,23834,31055,44,17
13,23834,31063,42,16
14,23838,31063,44,17
15,23836,31062,44,17
16,23834,31067,43,16
17,23838,31081,42,17
18,23847,31090,43,15
19,23850,31078,43,16
20,23839,31092,43,15
21,23849,31095,44,17
22,23854,31084,44,17
23,23848,31090,44,16
24,23852,31089,44,16
25,23850,31091,44,17
26,23847,31086,42,17
27,23846,31082,43,16
28,23845,31085,43,15
29,23849,31079,44,16
30,23845,31075,44,15
31,23845,31076,43,17
32,23847,31068,42,15
33,23843,31059,43,15
34,23839,31059,43,17
35,23840,31052,43,17
36,23839,31042,42,14
37,23833,31045,44,15
38,23837,31036,44,17
39,23835,31032,45,17
40,23833,31037,44,17
41,23835,31035,45,17
42,23837,31031,43,16
43,23835,31037,45,15
44,23840,31030,44,17
45,23833,31036,43,16
46,23836,31037,42,16
47,23838,31042,45,17
48,23842,31044,43,17
49,23842,31051,42,15
50,23845,31047,42,18
51,23843,31041,44,17
52,23839,31057,43,17
53,23849,31052,44,16
54,23849,31050,44,16
55,23845,31058,45,16
56,23849,31050,43,15
57,23843,31052,45,17
58,23843,31043,46,16
59,23837,31052,43,17
60,23842,31054,44,15
61,23842,31045,45,17
62,23836,31055,43,18
63,23845,31045,44,17
64,23837,31049,43,16
65,23839,31039,42,18
66,23832,31041,43,18
67,23835,31045,44,17
68,23838,31038,42,15
69,23834,31041,44,15
70,23836,31035,43,17
71,23830,31037,44,18
72,23832,31047,42,16
73,23838,31041,42,16
74,23833,31049,44,17
75,23838,31055,43,18
76,23841,31048,44,17
77,23836,31050,43,17
78,23834,31052,43,17
79,23839,31052,43,15
80,23836,31057,44,16
81,23841,31060,44,16
82,23841,31058,44,15
83,23837,31061,44,16
84,23841,31070,42,15
85,23844,31065,41,17
86,23843,31069,44,18
87,23846,31064,42,17
88,23843,31070,43,16
89,23846,31067,43,15
90,23846,31072,44,15
91,23847,31071,44,18
92,23847,31056,43,16
93,23838,31064,44,16
94,23846,31060,43,15
95,23842,31069,44,17
96,23849,31069,42,16
97,23847,31071,44,15
98,23848,31070,43,16
99,23849,31069,43,17
100,23848,31071,43,14
101,23847,31073,42,16
102,23849,31063,44,17
103,23841,31068,44,17
104,23849,31063,44,17
105,23845,31062,43,15
106,23845,31055,42,17
107,23843,31059,46,16
108,23845,31060,43,17
109,23848,31053,43,16
110,23845,31056,44,16
111,23843,31057,44,16
112,23849,31060,43,16
113,23851,31056,45,17
114,23849,31062,44,18
115,23853,31060,43,16
116,23848,31060,45,15
117,23848,31069,42,16
118,23853,31066,43,16
119,23848,31071,45,17
120,23852,31073,43,15
121,23853,31088,43,16
122,23859,31082,44,15
123,23855,31079,44,16
124,23855,31080,43,16
125,23855,31083,44,16
126,23858,31069,44,16
127,23847,31078,44,17
128,23853,31079,43,18
129,23854,31073,43,16
130,23850,31075,43,17
131,23853,31078,44,16
132,23856,31069,43,16
133,23849,31068,44,16
134,23850,31072,43,17
135,23854,31059,43,16
136,23846,31059,45,18
137,23848,31063,43,17
138,23852,31056,42,15
139,23846,31066,45,18
140,23856,31054,43,17
141,23847,31058,44,16
142,23849,31065,44,16
143,23857,31052,42,17
144,23847,31059,42,16
145,23852,31054,44,16
146,23846,31064,43,17
147,23853,31059,44,18
148,23852,31059,43,15
149,23851,31058,44,17
150,23850,31062,44,15
151,23854,31057,43,16
152,23848,31055,43,16
153,23845,31057,45,17
154,23849,31058,44,17
155,23847,31048,45,16
156,23843,31050,43,16
157,23845,31054,43,16
158,23849,31054,44,16
159,23847,31054,43,15
160,23848,31052,45,17
161,23847,31044,44,16
162,23841,31053,44,17
163,23847,31051,45,17
164,23845,31049,45,17
165,23844,31056,43,17
166,23851,31054,45,16
167,23849,31051,43,15
168,23846,31058,42,15
169,23854,31053,43,16
170,23849,31044,46,16
171,23843,31054,43,16
172,23851,31050,44,17
173,23848,31047,42,18
174,23850,31039,43,15
175,23841,31042,42,17
176,23843,31041,43,16
177,23843,31039,43,17
178,23843,31034,42,16
179,23839,31035,44,16
180,23841,31029,44,17
181,23839,31022,44,17
182,23834,31012,43,15
183,23834,31015,44,17
184,23838,31013,44,17
185,23835,31014,44,15
186,23837,31013,43,17
187,23836,31007,44,16
188,23835,30999,44,17
189,23831,30999,43,17
190,23830,31000,43,18
191,23830,30998,43,16
192,23832,30998,44,15
193,23833,30996,44,15
194,23830,31005,44,17
195,23836,31001,44,17
196,23832,30999,42,16
197,23827,31000,44,17
198,23826,30993,43,16
199,23820,30997,43,17
200,23821,31005,44,17
201,23825,31008,43,15
202,23829,31014,44,16
203,23833,31020,44,16
204,23835,31027,44,17
205,23838,31024,44,16
206,23838,31029,43,17
207,23841,31027,43,16
208,23838,31028,44,16
209,23839,31030,43,17
210,23840,31029,44,18
211,23837,31033,43,18
212,23843,31031,44,17
213,23842,31024,45,16
214,23833,31022,45,16
215,23831,31018,44,16
216,23829,31012,42,15
217,23825,31026,42,17
218,23835,31026,44,17
219,23836,31029,44,15
220,23837,31032,44,17
221,23837,31032,44,16
222,23837,31033,43,17
223,23838,31031,44,18
224,23836,31034,43,16
225,23839,31040,46,16
226,23842,31029,44,16
227,23833,31028,43,17
228,23834,31029,44,17
229,23836,31038,43,15
230,23839,31030,43,16
231,23834,31029,42,16
232,23836,31033,44,17
233,23838,31040,43,17
234,23842,31033,43,16
235,23838,31038,42,17
236,23839,31041,43,17
237,23842,31036,44,17
238,23836,31031,42,16
239,23833,31033,44,17
240,23835,31036,44,17
241,23841,31039,44,17
242,23841,31036,43,16
243,23839,31039,44,16
244,23840,31031,43,16
245,23835,31040,44,15
246,23840,31037,42,18
247,23839,31039,42,17
248,23841,31042,43,16
249,23844,31042,44,16
250,23844,31031,44,17
251,23840,31024,42,16
252,23837,31018,43,17
253,23834,31023,44,16
254,23838,31014,45,16
255,23833,31011,44,17
256,23832,31007,44,16
257,23831,31008,43,17
258,23833,31012,43,17
259,23837,31003,43,16
260,23833,31009,44,16
261,23840,31003,43,17
262,23833,31006,43,16
263,23837,31006,44,15
264,23838,31004,44,16
265,23836,31006,43,17
266,23836,31003,44,15
267,23832,31010,43,17
268,23837,31005,43,17
269,23832,31007,44,17
270,23832,31015,44,15
271,23839,31018,44,16
272,23839,31020,44,16
273,23841,31020,42,17
274,23840,31023,44,14
275,23838,31041,43,17
276,23851,31029,43,17
277,23842,31032,44,17
278,23846,31039,44,17
279,23848,31030,43,16
280,23840,31029,43,14
281,23843,31035,44,17
282,23848,31036,43,16
283,23847,31032,43,15
284,23845,31035,42,16
285,23846,31025,42,15
286,23839,31035,44,17
287,23843,31029,43,16
288,23841,31039,44,17
289,23848,31033,43,16
290,23841,31035,44,17
291,23843,31035,43,16
292,23843,31042,44,16
293,23850,31040,43,15
294,23847,31038,44,15
295,23845,31036,43,16
296,23842,31041,43,15
297,23843,31039,44,15
298,23844,31045,44,15
299,23847,31038,44,16
300,23843,31042,41,17
301,23846,31048,42,16
302,23851,31050,43,17
303,23849,31047,45,16
304,23847,31045,44,17
305,23849,31047,44,17
306,23848,31048,44,17
307,23849,31049,43,17
308,23850,31060,44,15
309,23856,31057,44,16
310,23854,31066,43,17
311,23856,31068,42,16
312,23858,31063,43,18
313,23850,31079,43,17
314,23863,31072,45,17
315,23856,31073,43,16
316,23859,31074,44,15
317,23858,31072,43,17
318,23856,31065,44,17
319,23852,31064,43,16
320,23852,31064,44,16
321,23852,31057,43,17
322,23847,31065,44,18
323,23852,31058,42,15
324,23848,31062,44,16
325,23853,31062,43,15
326,23854,31061,44,17
327,23855,31055,44,17
328,23852,31054,43,16
329,23852,31057,44,16
330,23854,31047,42,17
331,23851,31059,43,17
332,23857,31054,44,17
333,23854,31054,44,16
334,23852,31058,43,16
335,23853,31058,43,16
336,23854,31061,42,15
337,23854,31061,42,17
338,23856,31072,43,17
339,23859,31078,44,16
340,23861,31082,43,16
341,23862,31078,42,16
342,23857,31078,45,15
343,23857,31068,44,16
344,23852,31064,42,16
345,23848,31063,43,16
346,23850,31065,43,16
347,23852,31061,42,17
348,23848,31051,44,16
349,23842,31054,43,17
350,23846,31050,43,16
351,23845,31055,43,16
352,23851,31045,44,16
353,23844,31038,43,15
354,23842,31041,43,16
355,23841,31040,42,16
356,23841,31037,42,18
357,23838,31040,44,16
358,23842,31030,42,17
359,23836,31040,43,17
360,23844,31033,44,16
361,23841,31037,44,16
362,23843,31039,45,18
363,23844,31035,43,17
364,23840,31052,44,18
365,23851,31043,43,15
366,23844,31048,42,16
367,23850,31050,44,16
368,23850,31039,44,17
369,23842,31043,44,15
370,23847,31031,43,18
371,23838,31039,44,15
372,23843,31028,45,16
373,23837,31032,45,15
374,23841,31028,42,16
375,23838,31032,43,15
376,23841,31032,44,16
377,23841,31025,45,17
378,23838,31025,43,16
379,23842,31028,43,16
380,23842,31023,44,16
381,23837,31025,43,17
382,23840,31023,44,15
383,23839,31010,43,15
384,23831,31014,44,16
385,23832,31018,43,16
386,23836,31018,44,15
387,23838,31013,44,17
388,23835,31017,43,16
389,23837,31014,45,16
390,23834,31027,43,18
391,23846,31023,44,16
392,23840,31030,43,16
393,23847,31033,44,16
394,23848,31028,43,17
395,23845,31041,42,17
396,23855,31037,45,17
397,23851,31033,44,17
398,23847,31035,44,17
399,23847,31043,43,16
400,23853,31041,44,15
401,23852,31037,42,17
402,23848,31039,43,17
403,23850,31030,43,16
404,23847,31030,46,15
405,23845,31026,44,15
406,23849,31018,44,15
407,23845,31017,43,17
408,23843,31011,44,17
409,23841,31005,42,17
410,23842,31007,44,17
411,23844,30996,43,16
412,23837,30999,44,16
413,23843,31002,44,16
414,23846,30996,43,17
415,23843,30995,45,15
416,23842,30996,43,16
417,23843,30997,43,15
418,23843,31001,44,16
419,23842,31009,44,15
420,23850,31008,43,17
421,23845,31013,43,15
422,23849,31013,43,16
423,23844,31027,44,17
424,23852,31029,45,18
425,23855,31035,44,17
426,23856,31048,44,14
427,23862,31048,43,16
428,23861,31045,42,16
429,23861,31052,44,15
430,23863,31047,44,17
431,23864,31035,46,16
432,23856,31040,45,16
433,23857,31035,44,17
434,23859,31033,44,17
435,23856,31034,45,16
436,23858,31021,43,18
437,23852,31021,44,17
438,23853,31021,43,17
439,23854,31012,44,16
440,23846,31022,41,19
441,23856,31020,43,16
442,23854,31014,43,16
443,23851,31010,44,16
444,23850,31012,43,16
445,23853,31009,44,17
446,23849,31010,44,17
447,23852,30998,43,15
448,23844,31000,43,15
449,23845,30988,45,16
450,23839,30994,44,17
451,23842,30999,44,17
452,23848,30999,44,17
453,23846,30996,42,16
454,23847,31003,44,16
455,23850,31005,44,17
456,23852,31005,43,16
457,23852,31002,42,16
458,23852,31005,45,16
459,23851,31004,43,15
460,23850,31009,44,16
461,23854,31000,45,16
462,23847,31000,42,16
463,23846,31001,43,17
464,23848,30994,44,17
465,23843,30995,44,18
466,23842,30997,44,17
467,23844,30997,43,18
468,23844,31003,43,16
469,23848,30997,44,17
470,23844,31002,42,16
471,23844,31008,44,16
472,23850,31016,44,15
473,23856,31021,44,17
474,23857,31018,44,17
475,23854,31017,42,17
476,23851,31021,45,16
477,23852,31023,42,18
478,23854,31026,43,16
479,23852,31027,43,17
480,23851,31030,44,16
481,23852,31026,44,16
482,23847,31030,43,16
483,23849,31037,44,16
484,23853,31033,44,17
485,23851,31035,43,14
486,23854,31029,43,15
487,23852,31031,43,15
488,23853,31025,42,16
489,23850,31014,42,16
490,23844,31023,44,17
491,23854,31011,43,16
492,23843,31013,43,18
493,23846,31001,43,15
494,23842,31001,42,17
495,23842,31001,42,17
496,23847,30992,44,15
497,23838,31003,43,17
498,23851,30987,45,16
499,23840,30994,44,16
500,23846,30990,43,16
501,23844,30988,42,15
502,23842,30991,42,16
503,23844,30991,44,17
504,23848,30988,43,15
505,23845,30981,43,17
506,23839,30991,44,16
507,23846,30987,44,18
508,23844,30986,44,15
509,23845,30985,44,15
510,23845,30986,43,16
511,23846,30977,43,16
512,23840,30976,43,16
513,23841,30985,44,17
514,23847,30972,43,17
515,23839,30973,45,18
516,23841,30974,43,17
517,23843,30972,43,17
518,23842,30962,43,16
519,23837,30978,44,16
520,23849,30965,45,17
521,23838,30966,45,16
522,23841,30972,43,15
523,23844,30970,42,16
524,23844,30972,42,17
525,23842,30960,42,15
526,23835,30961,43,16
527,23838,30977,42,17
528,23847,30967,43,16
529,23840,30970,42,17
530,23842,30971,41,17
531,23842,30979,45,16
532,23844,30974,41,15
533,23840,30971,43,16
534,23836,30975,43,15
535,23840,30975,42,17
536,23840,30973,42,17
537,23836,30985,44,18
538,23845,30980,45,15
539,23842,30977,43,16
540,23838,30985,43,15
541,23849,30982,43,17
542,23844,30985,44,16
543,23845,30981,44,17
544,23842,30985,44,16
545,23847,30979,43,16
546,23842,30983,45,18
547,23847,30988,43,16
548,23849,30983,45,16
549,23846,30981,42,16
550,23846,30990,42,16
551,23850,30983,43,16
552,23845,30990,44,16
553,23849,30992,45,17
554,23850,30989,44,16
555,23849,30994,45,16
556,23854,30993,43,16
557,23854,30988,44,16
558,23851,30994,43,16
559,23858,30992,44,15
560,23855,30984,43,16
561,23848,30975,42,16
562,23843,30983,43,16
563,23848,30974,44,17
564,23843,30963,45,17
565,23836,30964,43,15
566,23837,30960,44,15
567,23836,30952,44,16
568,23831,30956,44,17
569,23834,30950,44,16
570,23833,30940,44,16
571,23828,30940,45,15
572,23830,30940,43,17
573,23831,30939,43,17
574,23832,30931,45,16
575,23826,30935,45,16
576,23831,30927,45,18
577,23827,30938,43,16
578,23832,30932,43,17
579,23823,30939,44,15
580,23829,30948,45,16
581,23833,30948,46,16
582,23834,30952,43,16
583,23835,30954,44,16
584,23834,30968,43,16
585,23847,30972,43,15
586,23844,30968,43,16
587,23840,30973,43,15
588,23843,30968,42,16
589,23839,30976,44,16
590,23845,30981,43,17
591,23847,30978,45,16
592,23846,30971,44,18
593,23840,30974,43,18
594,23843,30970,45,16
595,23842,30975,43,16
596,23845,30970,43,15
597,23842,30971,43,16
598,23842,30975,43,17
599,23847,30969,45,17
600,23845,30972,44,17
601,23844,30966,43,16
602,23840,30973,44,15
603,23842,30969,43,17
604,23839,30968,43,17
605,23839,30977,44,17
606,23844,30971,44,15
607,23838,30981,44,16
608,23844,30978,45,15
609,23841,30978,45,17
610,23839,30990,43,17
611,23846,30987,42,17
612,23843,30997,43,17
613,23849,31000,44,17
614,23852,30998,44,16
615,23851,30997,42,17
616,23848,30997,43,17
617,23851,31008,44,15
618,23859,31010,42,17
619,23862,30998,43,15
620,23857,31002,41,17
621,23858,30996,43,17
622,23855,30993,44,15
