Sample Count,PPG1,smoothPPG1,PPG2,smoothPPG2
0,1775,2.1108093982761025,1185,-0.2013085500831737
1,1783,1.2095506837417704,1184,-0.3508162744239392
2,1779,0.38491948675459686,1185,-0.4799339531803476
3,1775,-0.36569253035585625,1186,-0.5896007481116036
4,1774,-1.0448937052600287,1185,-0.6807558209769119
5,1778,-1.6552923756283588,1183,-0.7543383335354774
6,1778,-2.199496879131285,1183,-0.8112874475465048
7,1770,-2.6801155534392462,1184,-0.8525423247691988
8,1772,-3.099756736222681,1185,-0.8790421269627643
9,1773,-3.4610287651520304,1183,-0.891726015886406
10,1775,-3.7665399778977298,1184,-0.8915331532993285
11,1775,-4.0188987121302215,1184,-0.879402700960737
12,1769,-4.220713305519941,1184,-0.8562738206298359
13,1769,-4.37459209573733,1184,-0.82308567406583
14,1771,-4.483143420452824,1183,-0.7807774230279241
15,1775,-4.548975617336864,1184,-0.7302882292753228
16,1772,-4.57469702405989,1184,-0.6725572545672311
17,1771,-4.562915978292338,1185,-0.6085236606628536
18,1770,-4.5162408177046505,1184,-0.5391266093213953
19,1774,-4.437279879967262,1182,-0.4653052623020617
20,1777,-4.328641502750615,1184,-0.38799878136405586
21,1774,-4.192934023725145,1184,-0.30814632826658306
22,1770,-4.032765780561291,1184,-0.22668706476884867
23,1773,-3.8507451109294957,1184,-0.14456015263005748
24,1775,-3.649480352500195,1185,-0.0627047536094136
25,1779,-3.4315798429434237,1183,0.017939970533879038
26,1772,-3.3881863636712586,1184,0.08476606542813891
27,1776,-3.2882336897219795,1184,0.10155294125314669
28,1780,-3.0526482852723493,1184,0.13051843405285507
29,1782,-2.75884020729814,1187,0.19072509031588677
30,1780,-2.499424764739741,1184,0.24570378325335318
31,1777,-2.269478739070988,1184,0.23938683370733327
32,1778,-2.0692611706200776,1186,0.2053316917330448
33,1783,-1.8996712950314367,1185,0.22823632115907244
34,1786,-1.665018382895063,1185,0.2800438844074714
35,1785,-1.4348034564361412,1185,0.2880653417986466
36,1781,-1.2468793177189506,1186,0.25739467947645095
37,1785,-1.0173987945503375,1185,0.2232516419034648
38,1791,-0.8181244416132651,1184,0.21549410507465502
39,1792,-0.7114426342076906,1184,0.21783179018485505
40,1788,-0.615189364293114,1184,0.1904731254505806
41,1788,-0.5241764738890383,1184,0.1655889145385044
42,1793,-0.4410090690080637,1185,0.1796091731029511
43,1798,-0.3128656845721608,1183,0.19131399866370627
44,1793,-0.17726928920045093,1184,0.1691718214968828
45,1794,-0.06866733256468101,1184,0.12071685959758514
46,1799,0.06844521008397525,1184,0.07462918108629202
47,1800,0.2419398886589808,1184,0.05551658921686921
48,1804,0.4040906993403789,1184,0.048705829541826506
49,1801,0.588451670898903,1185,0.0297496902353509
50,1798,0.8471926360916998,1183,-0.014566642833210491
51,1801,1.1488745994801308,1184,-0.07488617652089594
52,1808,1.5359036216003976,1184,-0.141377638498117
53,1806,2.0335591844166214,1185,-0.21702952043779714
54,1802,2.6619184027682516,1185,-0.23905651550886364
55,1803,3.3943926304006244,1185,-0.20862232124558908
56,1810,4.010896531650009,1184,-0.2228622802937962
57,1812,4.488423418360201,1186,-0.2438665726474666
58,1810,4.915621870040941,1184,-0.19869063505340562
59,1807,5.3910134663382365,1184,-0.16860339813469336
60,1810,5.916852424241725,1184,-0.16834445094789682
61,1815,6.454079989312474,1185,-0.13522014476860714
62,1814,6.975852829109326,1186,-0.08772928557101539
63,1811,7.447879530192293,1185,-0.06095611113605189
64,1813,7.868810779542093,1184,-0.04231900094148777
65,1816,8.249704551761681,1185,-0.030861361941579096
66,1821,8.423395437919169,1185,-0.021091247583906108
67,1821,8.471342297106558,1184,-0.006626949601534736
68,1818,8.48688227138721,1185,0.002488441981418163
69,1818,8.363380634263693,1185,0.002789249388261087
70,1823,8.133427015607808,1184,-0.0007067217538221753
71,1827,7.92652490995842,1185,0.02498164602081244
72,1825,7.6698169817710395,1185,0.07523197137993165
73,1822,7.259691363749414,1183,0.09520986938237373
74,1823,6.80415122144892,1185,0.0891095194661212
75,1826,6.330440216702876,1185,0.0965016893542714
76,1825,5.6640085735177115,1185,0.0862804244627971
77,1821,4.900098435186213,1186,0.05638281090230596
78,1812,4.174893170119341,1185,0.056534995630524984
79,1814,3.3593040634582683,1186,0.06913233100708757
80,1810,2.4737708948497223,1184,0.07119787906471586
81,1802,1.6596130130796145,1186,0.07201066477696688
82,1798,0.8801158443444868,1184,0.05712551500729616
83,1795,0.058887064364227415,1185,0.021984219527670712
84,1796,-0.766797070299517,1184,0.0002794544229677634
85,1795,-1.5595234240459845,1186,-0.022625583644155692
86,1790,-2.2927137422307355,1184,-0.06401574083622638
87,1783,-2.9653101431317888,1186,-0.06446668120502173
88,1781,-3.5996533305599323,1185,-0.011591981173934802
89,1787,-4.204240207686489,1185,0.01652139029992739
90,1785,-4.695859667212636,1185,-0.003909033291852813
91,1782,-5.115297362421776,1185,-0.007222598560111114
92,1781,-5.4774529938013,1185,0.01570934199340933
93,1783,-5.738525510197548,1186,0.03614099231832418
94,1789,-5.962197776966448,1185,0.07051447487438883
95,1785,-6.180059333669337,1185,0.08753247763272265
96,1781,-6.312864141966722,1185,0.05032195353177104
97,1782,-6.360496294708066,1183,0.027388115765628163
98,1788,-6.287111338062889,1184,0.020862462575366267
99,1789,-5.987599053256353,1185,-0.021696980875965027
100,1787,-5.622193666040649,1185,-0.038629717917639965
101,1786,-5.253324610930532,1184,-0.02784372252798635
102,1791,-4.812137606689347,1185,-0.05980841094340923
103,1796,-4.395711023708859,1184,-0.08495142833225694
104,1796,-3.9692317717740075,1184,-0.07644585846669076
105,1793,-3.55825253680362,1185,-0.09204241683291245
106,1790,-3.3091163422386853,1184,-0.10529461072622619
107,1794,-2.9523011526704988,1185,-0.0978675794002487
108,1800,-2.46294211423127,1186,-0.13503022258076028
109,1797,-2.0119761737610067,1186,-0.18916841722557604
110,1795,-1.6492051936921601,1184,-0.19170872396263758
111,1794,-1.2054590386328266,1186,-0.19583175167660816
112,1799,-0.8013704011149991,1185,-0.23127706442722806
113,1799,-0.5011139044578733,1184,-0.24192681097294413
114,1796,-0.3212817900975312,1185,-0.24162237268074277
115,1794,-0.24202201271401985,1184,-0.26929069224786806
116,1795,-0.23846663248383404,1186,-0.307498246367757
117,1800,-0.22194611477687085,1184,-0.3250252408361056
118,1798,-0.226541357844311,1183,-0.29760262317904673
119,1796,-0.27155432085253206,1184,-0.25795631720168205
120,1797,-0.27677990636936056,1183,-0.2507630398035409
121,1802,-0.3494884358798481,1185,-0.24351825062647584
122,1807,-0.4961092415806365,1185,-0.23150296150953317
123,1806,-0.6118226327550582,1184,-0.2631064275249593
124,1800,-0.698959055850779,1184,-0.3101096765496879
125,1803,-0.7752585116820505,1184,-0.31698890669848445
126,1809,-0.7994986523741833,1183,-0.30621540032624184
127,1810,-0.8193151259914592,1185,-0.28346295191423865
128,1811,-0.8435430488821184,1185,-0.25069231313597806
129,1806,-0.7166705354207142,1184,-0.27479884128830506
130,1812,-0.4179213426116265,1185,-0.3002978161582741
131,1814,-0.13166473182201205,1184,-0.2665988486545448
132,1815,0.09890347658149977,1184,-0.272606823062641
133,1813,0.4205140430997864,1185,-0.297892418198079
134,1813,0.8995047159491373,1185,-0.24740545522541646
135,1821,1.4722786752930865,1184,-0.18939392442529265
136,1819,2.0964726865847667,1184,-0.16424607612491257
137,1818,2.8214448891825237,1185,-0.13555790390187436
138,1817,3.607477853790195,1185,-0.10551080890589164
139,1817,4.396416793027076,1184,-0.058633135686737184
140,1825,5.0735134513807045,1186,-0.022433818880297864
141,1828,5.74333329678924,1185,-0.00784029352024563
142,1823,6.372338886605392,1186,0.034435207533597086
143,1822,6.906005200986469,1184,0.0764471352032463
144,1825,7.4169969769103,1184,0.0871907162514264
145,1829,7.860924950522255,1186,0.10027724032342374
146,1832,8.184049763650831,1184,0.12487795119601477
147,1827,8.474007133436881,1186,0.16636799784301487
148,1829,8.830240141071034,1184,0.1980381879718327
149,1832,9.148880467776022,1186,0.1890067997188184
150,1835,9.232005720263496,1186,0.17913250003195738
151,1832,9.174842461704253,1185,0.17509300653512944
152,1830,9.055523601890945,1184,0.1708883786206539
153,1837,8.850676123965968,1185,0.21263419671386533
154,1838,8.594770257306019,1184,0.2671427407930398
155,1835,8.246574168179235,1187,0.28945847254117046
156,1834,7.776982334277616,1183,0.2922701696807709
157,1833,7.250876472910841,1185,0.263381186587158
158,1835,6.613165615230557,1187,0.22917600229680168
159,1837,5.915929359538516,1184,0.2316962959503651
160,1833,5.254213053066954,1186,0.23074745449993767
161,1828,4.594929248165871,1184,0.21331480663827396
162,1823,3.8246033949407297,1186,0.2104331779826379
163,1823,3.003360586046894,1186,0.21813824387883082
164,1822,2.08408981575495,1184,0.22262361998109348
165,1812,1.1435844499952093,1185,0.1901828790993687
166,1804,0.32623003718957205,1186,0.13075582878960743
167,1803,-0.35494068437541876,1186,0.11735332229129236
168,1805,-0.9888695881951117,1185,0.1224634640271211
169,1803,-1.5908809746235137,1185,0.0786418068787201
170,1797,-2.221041606028592,1185,0.0335967246093451
171,1800,-2.8033459377620016,1184,0.018090162021703157
172,1800,-3.2611031976464284,1185,-0.003552139338980428
173,1801,-3.6418607114152226,1185,-0.027298406880178983
174,1797,-3.986624304917215,1186,-0.051412935294237884
175,1794,-4.268198500519798,1186,-0.08892622169331414
176,1795,-4.548204774263139,1185,-0.10555144498596272
177,1799,-4.81854578355569,1185,-0.09231200349176258
178,1802,-4.9500093331790564,1184,-0.1258099029827582
179,1799,-4.942596130171717,1184,-0.2181550997678507
180,1798,-4.949589786657155,1184,-0.24485819154893212
181,1800,-4.936606056273694,1185,-0.2098679801333743
182,1806,-4.7614837566372845,1185,-0.21986601074805762
183,1806,-4.544785846680641,1186,-0.21089726997918898
184,1804,-4.325502135197199,1184,-0.13499318922847317
185,1803,-4.042815153699533,1186,-0.11618137313428552
186,1806,-3.6004228711017925,1184,-0.16898939532238486
187,1810,-3.0885249814930225,1184,-0.17239161388301666
188,1808,-2.620045910340055,1184,-0.11618667356741136
189,1808,-2.245294470274727,1184,-0.0727099166715121
190,1809,-1.970675920493724,1184,-0.07620738126657628
191,1811,-1.6046930442784049,1187,-0.08252580527316988
192,1812,-1.278395717698633,1185,-0.034011567225251595
193,1806,-1.0226610847098252,1185,0.048209845293705894
194,1803,-0.8219184804367654,1185,0.1203385056565778
195,1806,-0.6722102631090492,1185,0.18155588269025355
196,1811,-0.5494378483889484,1185,0.21259787508899278
197,1809,-0.3781454437866828,1185,0.22017458097463136
198,1805,-0.2710583968656613,1185,0.23958899014779314
199,1803,-0.27777755111339275,1185,0.2455479348019252
200,1807,-0.29974821192297446,1186,0.24148589313149454
201,1811,-0.37220044906371924,1187,0.2711239042941478
202,1811,-0.5673642559206319,1184,0.28999811005533105
203,1805,-0.7517285757898937,1186,0.2770766776682505
204,1810,-0.8449020565066196,1187,0.28576701532650767
205,1814,-0.9357962502084021,1187,0.29913866097229286
206,1815,-1.0265399260835755,1185,0.27644146012136095
207,1812,-1.103035297793514,1185,0.2782747705678476
208,1813,-1.1958601273501386,1185,0.3123414702186175
209,1818,-1.2295234717570087,1184,0.2959599709911486
210,1822,-1.1229351218704042,1185,0.26282478676279497
211,1820,-0.9859586647522394,1187,0.27566466807663026
212,1816,-0.9225743457361468,1186,0.2614920254184068
213,1816,-0.8480880902566713,1184,0.19343094685512982
214,1821,-0.6479744424085885,1186,0.12909606871759377
215,1826,-0.2864777165413416,1185,0.053213728787256775
216,1823,0.16343542948449996,1186,-0.004790778048843855
217,1820,0.6287678448003389,1186,0.017956335122399802
218,1823,1.1908105515271943,1184,0.0605639445730725
219,1829,1.8599064718340095,1184,0.046887087186705326
220,1832,2.4879835502370335,1184,0.01050651688632423
221,1827,3.1483425989252583,1184,-0.013699030615268615
222,1827,3.920394814267911,1185,-0.042163254692240255
223,1829,4.60631054569007,1184,-0.0774509910402829
224,1834,5.132729473712358,1185,-0.11458119611200213
225,1833,5.681183041657992,1187,-0.14703938909594394
226,1828,6.1662043541273475,1185,-0.14330026322545736
227,1835,6.673844731982191,1186,-0.12057507303507099
228,1836,7.138599578665699,1186,-0.12821672149458696
229,1838,7.52128342721396,1185,-0.13529932745815323
230,1836,7.827983158768956,1184,-0.08640875320579715
231,1833,8.071423891925798,1185,-0.004277014299861298
232,1836,8.194504972309195,1185,0.05020645815126813
233,1842,8.21693528312167,1184,0.055195834436358
234,1843,8.206324569985545,1186,0.03338942667431858
235,1838,8.1292415821639,1186,-0.003173593241950717
236,1835,8.042621446966816,1185,-0.005373623579469317
237,1843,7.833022077128288,1185,0.07283515939586675
238,1848,7.426648116574112,1186,0.15080546537199982
239,1845,6.833234687834112,1186,0.16803999581427181
240,1842,6.218448162103444,1186,0.16006958944841565
241,1841,5.622191112954683,1186,0.14791888980356047
242,1844,4.9601179225193,1185,0.14542995624226485
243,1846,4.199624681842546,1184,0.14833476253120415
244,1834,3.3789250624143286,1184,0.13500818225005037
245,1833,2.580571430058378,1186,0.10691941639167031
246,1830,1.7625399846970056,1185,0.06977219582777144
247,1829,0.950294224521072,1185,0.06894295042044077
248,1825,0.13524051479515087,1186,0.07001282268463296
