PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 0
LED Wavelength: LED IR
PPG Channel: 2
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 0
LED Wavelength: LED IR

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 100
Sample Time: 10
Desired Samples: 1000

Start Tick: 35361 at 12-31-36.413 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
0,48,61,38,21
1,49,59,38,21
2,49,59,39,20
3,49,60,38,20
4,49,61,39,20
5,48,60,39,20
6,48,57,38,18
7,49,61,38,19
8,48,60,36,18
9,48,60,39,19
10,49,59,38,20
11,49,60,40,20
12,49,60,39,20
13,50,61,38,20
14,50,59,39,19
15,49,60,38,20
16,47,62,40,19
17,50,59,38,19
18,50,60,39,20
19,50,60,38,22
20,47,60,39,20
21,49,61,38,20
22,48,60,38,19
23,49,60,40,19
24,49,59,39,19
25,50,59,37,20
26,49,60,39,20
27,50,59,38,18
28,48,58,38,18
29,49,59,38,21
30,48,59,38,18
31,48,59,40,21
32,50,60,39,21
33,49,60,38,21
34,49,59,38,20
35,49,60,38,19
36,49,59,38,20
37,48,61,40,22
38,49,58,38,19
39,49,59,39,21
40,49,61,38,19
41,49,59,39,19
42,49,60,39,19
43,48,61,37,20
44,48,59,38,21
45,50,59,39,19
46,48,59,39,19
47,49,60,39,21
48,48,60,39,21
49,49,60,39,19
50,47,61,38,20
51,49,62,38,19
52,49,59,39,19
53,48,60,38,19
54,49,61,39,19
55,49,61,40,20
56,50,61,38,20
57,49,59,40,21
58,48,58,38,21
59,48,59,39,20
60,49,59,38,19
61,49,60,39,20
62,51,60,38,19
63,51,60,39,19
64,49,60,39,18
65,48,60,38,21
66,48,60,38,20
67,49,60,40,20
68,50,60,38,19
69,49,60,39,19
70,48,59,39,20
71,49,60,39,21
72,49,61,38,20
73,48,60,38,20
74,51,60,38,21
75,48,61,39,20
76,49,57,38,19
77,49,59,38,19
78,48,58,38,21
79,48,59,38,18
80,49,59,37,22
81,49,61,39,19
82,49,60,37,19
83,49,59,37,19
84,49,61,39,19
85,50,60,39,19
86,49,61,38,19
87,47,59,40,20
88,49,61,39,20
89,50,60,37,20
90,49,60,40,20
91,49,61,39,22
92,48,60,39,21
93,49,61,38,19
94,49,61,38,20
95,51,60,38,20
96,48,60,38,19
97,50,60,39,19
98,48,61,37,20
99,48,60,38,20
100,49,60,40,19
101,49,61,40,20
102,48,60,40,19
103,49,59,40,20
104,50,61,38,21
105,49,59,38,22
106,50,61,38,20
107,49,59,40,20
108,50,61,38,21
109,49,60,38,20
110,48,60,38,20
111,48,59,38,20
112,49,59,39,18
113,49,61,39,21
114,49,60,38,20
115,49,60,37,20
116,50,59,40,20
117,50,59,38,20
118,48,58,38,20
119,49,60,38,19
120,48,60,38,20
121,50,59,38,21
122,50,60,38,19
123,49,60,38,20
124,49,59,39,19
125,51,60,39,21
126,47,60,39,20
127,50,60,38,18
128,49,60,39,19
129,48,60,39,21
130,48,60,38,20
131,49,61,38,20
132,49,60,38,20
133,49,59,39,20
134,48,59,39,20
135,48,60,37,19
136,49,61,39,19
137,51,59,38,20
138,47,59,39,20
139,49,59,39,21
140,48,61,38,20
141,47,60,38,21
142,49,60,39,21
143,48,59,38,21
144,49,60,39,20
145,49,60,40,20
146,49,60,38,19
147,50,59,40,22
148,47,58,37,19
149,47,60,39,20
150,48,59,38,19
151,48,60,39,20
152,48,61,37,21
153,48,60,38,21
154,49,60,38,20
155,48,60,37,20
156,49,61,41,20
157,49,60,39,22
158,51,60,40,19
159,50,60,39,18
160,49,59,38,21
161,47,60,39,21
162,48,60,40,20
163,49,61,38,20
164,48,59,38,19
165,47,60,38,20
166,49,59,37,20
167,49,60,39,19
168,49,60,40,19
169,48,60,39,20
170,48,60,39,20
171,49,60,38,20
172,48,60,40,20
173,49,59,39,21
174,49,61,39,20
175,49,59,40,19
176,48,61,40,20
177,47,59,39,20
178,49,62,37,19
179,48,59,38,19
180,48,58,37,21
181,49,60,37,20
182,48,60,38,20
183,49,59,39,21
184,49,60,38,20
185,49,59,40,21
186,49,60,38,20
187,49,58,39,20
188,49,59,38,21
189,50,60,38,19
190,49,60,40,19
191,49,61,38,21
192,48,61,38,20
193,49,60,38,21
194,49,60,39,21
195,50,59,37,20
196,47,61,38,20
197,49,60,39,21
198,49,60,39,21
199,48,60,39,18
200,49,61,39,21
201,48,59,39,21
202,48,59,40,20
203,48,59,37,20
204,49,60,39,20
205,47,59,39,21
206,50,61,39,20
207,49,59,38,19
208,48,60,38,19
209,49,60,38,20
210,50,58,37,20
211,49,59,39,20
212,49,60,39,20
213,50,61,38,19
214,50,59,36,22
215,48,58,39,21
216,49,60,38,21
217,49,62,39,20
218,48,59,38,19
219,48,59,39,20
220,47,60,38,19
221,48,61,40,20
222,47,60,39,20
223,48,61,39,19
224,48,59,39,20
225,49,60,39,21
226,48,60,37,20
227,49,60,38,20
228,50,59,38,21
229,48,60,39,19
230,50,60,39,21
231,47,59,39,21
232,49,60,40,20
233,49,60,39,20
234,49,59,39,21
235,49,60,39,20
236,48,59,39,20
237,49,62,38,21
238,48,60,36,20
239,50,59,36,20
240,49,59,38,20
241,47,58,38,21
242,50,59,37,20
243,51,60,40,19
244,50,60,39,19
245,49,60,39,21
246,50,60,39,20
247,48,62,39,21
248,49,59,40,21
249,50,59,38,19
250,49,59,41,19
251,48,59,38,20
252,47,59,39,20
253,49,61,39,21
254,50,59,38,19
255,50,59,38,19
256,50,59,38,19
257,50,58,39,19
258,49,60,40,20
259,51,59,38,20
260,49,60,39,22
261,49,59,38,21
262,49,58,38,20
263,48,58,37,21
264,50,60,38,21
265,48,60,39,20
266,49,60,38,20
267,49,61,39,20
268,50,60,40,21
269,48,60,40,20
270,49,60,38,21
271,49,62,38,19
272,49,61,41,19
273,49,60,38,20
274,47,60,38,20
275,47,61,40,20
276,49,59,39,20
277,48,60,39,20
278,46,59,38,20
279,49,61,38,20
280,48,60,39,19
281,48,60,38,20
282,49,59,40,18
283,48,59,37,19
284,49,60,39,21
285,48,59,38,20
286,49,61,38,20
287,49,60,41,20
288,50,59,39,20
289,49,62,40,20
290,50,61,38,21
291,48,59,42,22
292,49,59,39,20
293,49,60,38,20
294,49,60,39,19
295,48,60,37,21
296,50,61,38,23
297,50,59,39,20
298,49,60,39,20
299,49,59,39,19
300,49,60,37,20
301,49,58,38,20
302,49,60,38,20
303,48,62,40,19
304,48,60,38,21
305,48,60,38,21
306,50,61,39,21
307,48,59,39,20
308,48,60,39,21
309,48,60,38,20
310,48,60,38,21
311,48,59,37,20
312,49,60,39,21
313,49,58,38,20
314,49,58,38,20
