PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 7
LED Wavelength: LED Green
PPG Channel: 2
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 7
LED Wavelength: LED Green

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 100
Sample Time: 10
Desired Samples: 1000

Start Tick: 252190 at 12-35-46.201 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
0,11287,5091,38,3
1,10873,5092,37,17
2,10903,5092,37,20
3,10892,5092,38,23
4,10904,5092,38,24
5,10918,5092,37,24
6,10900,5091,38,24
7,10921,5092,37,23
8,10918,5091,37,22
9,10918,5092,37,23
10,10945,5092,37,22
11,10933,5092,37,23
12,10938,5091,35,22
13,10943,5092,37,25
14,10932,5091,38,23
15,10936,5093,37,28
16,10909,5091,39,25
17,10902,5093,38,22
18,10889,5093,37,25
19,10852,5092,38,23
20,10849,5091,38,22
21,10805,5091,39,22
22,10783,5090,39,22
23,10760,5091,36,24
24,10728,5090,37,26
25,10722,5090,36,25
26,10691,5089,36,23
27,10686,5091,38,21
28,10686,5089,37,23
29,10655,5088,39,23
30,10660,5090,37,23
31,10648,5089,37,24
32,10652,5090,39,24
33,10662,5091,38,22
34,10645,5089,38,23
35,10654,5092,37,23
36,10650,5091,36,21
37,10656,5090,38,23
38,10672,5090,36,23
39,10653,5092,38,26
40,10674,5088,38,28
41,10672,5092,38,26
42,10672,5090,37,23
43,10691,5090,36,24
44,10666,5090,34,24
45,10680,5090,37,26
46,10681,5090,37,24
47,10662,5090,37,22
48,10683,5090,36,22
49,10661,5090,36,25
50,10668,5091,37,25
51,10666,5091,37,26
52,10654,5091,37,27
53,10669,5089,38,24
54,10655,5090,37,22
55,10662,5090,37,22
56,10669,5090,36,21
57,10654,5090,38,21
58,10677,5090,36,21
59,10663,5089,39,24
60,10671,5089,38,23
61,10693,5089,38,19
62,10679,5091,37,22
63,10701,5090,37,24
64,10688,5090,37,24
65,10694,5091,38,25
66,10728,5088,37,23
67,10711,5092,37,24
68,10734,5092,37,23
69,10740,5091,36,21
70,10731,5090,38,23
71,10752,5090,38,22
72,10730,5092,37,24
73,10739,5093,38,26
74,10715,5091,37,25
75,10701,5091,37,26
76,10699,5090,37,25
77,10651,5093,37,27
78,10639,5089,36,25
79,10613,5090,36,22
80,10581,5090,37,24
81,10570,5087,36,26
82,10530,5089,37,26
83,10522,5089,38,27
84,10513,5089,37,24
85,10479,5090,36,28
86,10486,5088,37,23
87,10467,5089,38,24
88,10458,5091,37,25
89,10459,5089,38,27
90,10442,5088,37,24
91,10458,5087,39,22
92,10447,5088,37,23
93,10451,5089,38,22
94,10460,5087,37,23
95,10447,5090,39,22
96,10478,5089,37,21
97,10470,5088,37,20
98,10474,5089,37,22
99,10495,5090,37,22
100,10477,5088,37,27
101,10486,5088,38,25
102,10489,5087,37,26
103,10474,5087,38,23
104,10499,5090,37,24
105,10473,5090,37,25
106,10484,5089,37,26
107,10495,5088,37,24
108,10469,5087,38,25
109,10495,5087,36,23
110,10480,5089,36,23
111,10487,5089,37,22
112,10487,5089,37,24
113,10485,5087,37,23
114,10510,5086,38,23
115,10494,5087,36,25
116,10501,5089,36,22
117,10518,5088,38,25
118,10506,5088,38,25
119,10534,5087,37,24
120,10514,5089,37,24
121,10529,5090,39,21
122,10549,5087,37,23
123,10529,5090,36,25
124,10554,5088,37,22
125,10549,5090,36,25
126,10554,5089,38,23
127,10572,5087,36,23
128,10561,5088,37,25
129,10583,5090,38,24
130,10585,5086,38,26
131,10574,5090,36,23
132,10587,5087,37,27
133,10550,5091,37,22
134,10557,5089,39,23
135,10528,5088,38,25
136,10503,5089,37,24
137,10502,5087,35,24
138,10462,5088,36,22
139,10446,5090,38,23
140,10429,5090,36,22
141,10390,5087,37,23
