PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 3
LED Wavelength: LED Red
PPG Channel: 2
DAC Value: 20 Voltage: 0.10V
PGA Gain Setting: 4
LED Wavelength: LED Red

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 100
Sample Time: 10
Desired Samples: 1000

Start Tick: 253141 at 12-35-48.220 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
0,24017,27596,35,0
1,24012,27602,36,0
2,24010,27630,36,0
3,24011,27649,37,0
4,24004,27691,35,0
5,24010,27729,36,0
6,24003,27777,37,0
7,24009,27815,37,2
8,24005,27851,36,1
9,24006,27879,35,0
10,24009,27887,36,0
11,24002,27898,38,0
12,24002,27893,36,0
13,24004,27869,36,0
14,23998,27863,34,2
15,24010,27855,36,0
16,24016,27831,35,0
17,24015,27807,36,0
18,24015,27791,38,0
19,24018,27776,35,1
20,24020,27764,37,0
21,24028,27734,35,0
22,24021,27717,37,1
23,24027,27699,35,1
24,24036,27675,37,0
25,24028,27673,35,1
26,24037,27659,36,1
27,24032,27647,36,0
28,24027,27652,36,0
29,24028,27651,37,0
30,24020,27660,35,0
31,24016,27670,36,0
32,24012,27679,35,0
33,24009,27685,36,0
34,24005,27698,37,0
35,24009,27705,36,0
36,24011,27703,36,0
37,24007,27710,36,0
38,24011,27709,35,0
39,24010,27705,36,1
40,24009,27703,35,0
41,24012,27698,36,0
42,24015,27694,36,0
43,24010,27696,36,0
44,24020,27689,35,0
45,24014,27676,35,0
46,24009,27674,35,1
47,24015,27672,37,0
48,24022,27660,37,0
49,24021,27652,37,0
50,24021,27651,37,0
51,24023,27641,37,0
52,24018,27642,37,0
53,24022,27639,37,1
54,24024,27629,35,0
55,24020,27624,36,0
56,24020,27629,36,1
57,24027,27625,35,0
58,24028,27620,34,1
