PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 0
LED Wavelength: LED Green
PPG Channel: 2
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 0
LED Wavelength: LED Green

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 100
Sample Time: 10
Desired Samples: 1000

Start Tick: 45303 at 12-31-47.831 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
0,46,58,36,19
1,48,59,37,14
2,46,58,38,13
3,47,58,39,11
4,46,59,38,13
5,46,57,38,11
6,46,59,38,12
7,46,57,38,12
8,46,58,37,10
9,47,58,39,11
10,47,59,37,10
11,48,59,37,11
12,48,58,37,9
13,48,57,37,10
14,48,58,37,12
15,48,56,37,10
16,46,58,37,10
17,48,57,38,11
18,48,55,37,10
19,47,57,37,11
20,46,56,37,10
21,45,59,37,13
22,48,58,37,9
23,47,57,37,11
24,48,56,36,9
25,47,58,36,11
26,48,57,36,10
27,47,58,37,10
28,48,57,38,10
29,48,58,36,10
30,47,58,38,10
31,48,58,37,12
32,47,59,37,11
33,48,57,37,10
34,49,58,37,11
35,46,58,38,10
36,47,58,37,11
37,47,57,37,11
38,47,58,38,10
39,46,58,35,11
40,47,58,37,10
41,47,57,38,10
42,47,58,38,11
43,47,59,36,10
44,47,59,38,10
45,47,57,38,11
46,46,57,38,12
47,47,57,36,12
48,48,58,38,9
49,47,57,38,10
50,47,57,37,10
51,46,58,39,9
52,47,58,38,10
53,46,59,36,10
54,47,57,38,11
55,47,58,38,10
56,49,59,38,10
57,45,59,37,11
58,48,59,38,9
59,47,58,37,12
60,46,58,38,11
61,48,58,37,11
62,46,58,37,12
63,46,56,37,10
64,47,58,38,10
65,46,57,38,11
66,46,57,38,12
67,46,59,37,11
68,48,58,38,11
69,46,58,38,11
70,48,57,37,12
71,46,58,37,10
72,47,58,38,12
73,47,57,38,12
74,47,58,36,11
75,46,58,38,10
76,48,57,38,11
77,46,58,37,10
78,47,57,37,11
79,46,58,36,10
80,49,58,37,9
81,47,57,38,10
82,46,59,35,11
83,48,58,37,10
84,48,57,37,10
85,47,58,37,9
86,48,58,38,10
87,48,58,36,10
88,49,58,38,12
89,47,59,37,12
90,47,59,35,11
91,47,57,38,10
92,47,58,38,11
93,47,59,37,9
94,47,59,37,12
95,47,58,37,10
96,46,58,36,9
97,46,58,36,10
98,48,57,36,10
99,48,59,36,11
100,48,57,38,12
101,46,59,36,12
102,48,56,36,10
103,48,57,39,12
104,48,59,36,10
105,48,59,38,10
106,48,56,36,10
107,46,58,36,12
108,45,58,36,12
109,46,58,36,11
110,47,57,38,12
111,48,57,36,11
112,46,58,37,11
113,47,58,37,11
114,47,60,37,10
115,47,58,35,9
116,48,57,37,10
117,48,57,37,11
118,47,57,39,10
119,47,58,36,11
120,47,59,38,10
121,47,59,38,11
122,46,58,36,9
123,47,57,38,10
124,47,58,38,10
125,47,57,36,11
126,47,57,37,10
127,47,58,38,13
128,46,56,37,11
129,47,57,38,11
130,47,59,36,12
131,47,58,37,10
132,48,58,37,10
133,46,58,37,11
134,46,58,37,12
135,48,59,37,10
136,47,58,37,10
137,47,58,37,11
138,45,58,37,9
139,48,57,36,10
140,47,57,37,11
141,46,57,37,10
142,49,58,38,9
143,47,59,36,10
144,47,57,37,10
145,47,58,38,9
146,48,57,37,10
147,47,58,38,10
148,47,57,38,11
149,46,57,37,11
150,47,58,38,10
151,47,59,37,11
152,47,57,38,11
153,47,58,36,10
154,46,58,37,10
155,47,57,37,11
156,46,57,36,10
157,45,59,37,11
158,47,57,37,11
159,46,56,36,10
160,47,58,37,10
161,48,58,36,10
162,45,58,38,12
163,48,59,38,10
164,46,59,37,12
165,47,59,37,11
166,47,57,37,11
167,46,57,38,10
168,46,57,37,10
169,46,57,37,11
170,48,57,36,10
171,46,58,37,11
172,47,57,38,10
173,47,57,36,9
174,47,58,39,9
175,46,57,39,11
176,47,57,36,9
177,46,57,38,10
178,46,58,37,11
179,48,57,39,11
180,47,57,38,9
181,47,58,39,12
182,47,57,38,11
183,47,58,37,10
184,46,58,38,10
185,48,58,38,12
186,46,57,37,13
187,48,58,36,10
188,47,58,37,10
189,46,57,37,9
190,46,59,37,10
191,47,58,38,11
192,48,58,36,8
193,47,59,37,13
194,47,57,38,12
195,46,58,37,11
196,48,57,37,11
197,47,59,37,12
198,47,58,38,11
199,48,59,35,10
200,47,59,37,12
201,47,57,37,13
202,48,58,37,11
203,46,57,37,12
204,46,59,37,11
205,48,59,37,10
206,46,57,38,11
207,47,59,36,10
208,46,58,37,9
209,48,58,37,10
210,46,58,38,10
211,45,60,37,12
212,47,59,38,10
213,47,58,36,10
214,47,58,38,11
215,48,58,38,10
216,48,57,37,10
217,47,59,38,11
218,47,57,36,11
219,48,58,38,11
220,47,58,38,10
221,47,59,38,12
222,46,57,36,13
223,47,59,37,11
224,48,59,38,10
225,49,60,37,11
226,46,58,36,10
227,47,58,38,11
228,48,57,38,10
229,47,58,38,11
230,47,58,37,10
231,47,57,36,12
232,45,57,38,11
233,46,57,36,11
234,46,57,36,10
235,48,56,35,11
236,47,60,38,11
237,47,57,37,13
238,47,58,38,11
239,45,57,38,12
240,47,59,37,10
241,46,58,38,10
242,47,58,39,12
243,47,59,38,11
244,46,57,36,11
245,46,57,37,9
246,47,57,38,11
247,47,59,38,10
248,47,59,35,11
249,45,56,36,11
250,45,58,37,10
251,49,58,38,10
252,47,57,37,10
253,47,58,37,9
254,48,57,37,9
255,47,58,40,10
256,47,58,37,11
257,47,58,38,9
258,47,58,38,12
259,47,58,37,10
260,46,57,36,11
261,47,57,38,12
262,48,58,36,12
263,47,59,36,12
264,47,59,35,10
265,48,57,37,10
266,46,58,36,11
267,48,57,36,12
268,45,60,39,11
269,46,58,38,10
270,47,59,37,10
271,47,58,37,10
272,47,58,36,11
273,48,58,37,12
274,47,58,38,12
275,47,58,39,9
276,47,58,38,10
277,47,59,38,12
278,46,58,37,12
279,46,58,37,11
280,47,59,36,13
281,47,59,38,11
282,48,57,38,11
283,45,59,37,12
284,48,57,36,10
285,47,58,37,10
286,47,57,37,13
287,47,57,37,11
288,47,58,37,10
289,46,58,36,11
290,47,58,38,11
291,47,57,39,11
292,47,57,38,11
293,47,59,37,10
294,49,58,37,11
295,47,56,38,11
296,47,58,36,12
297,46,57,37,12
298,47,58,37,11
299,45,58,37,9
300,48,57,38,11
301,47,58,38,13
302,46,56,37,11
303,47,58,37,11
304,46,57,37,10
305,47,60,36,10
306,47,58,37,12
307,47,58,37,9
308,47,58,39,11
309,47,59,36,12
310,48,56,36,11
311,46,57,37,11
312,48,56,38,10
313,45,57,38,10
314,48,58,37,9
315,47,58,38,10
316,47,58,37,9
317,47,60,38,11
318,48,56,37,10
319,47,57,38,12
320,46,56,38,10
321,47,58,38,10
322,45,59,36,10
323,46,57,38,10
324,46,58,36,11
325,48,58,37,9
326,48,57,38,10
327,46,58,36,11
328,48,58,39,9
329,47,58,40,11
330,48,58,37,11
331,48,58,37,11
332,47,58,36,10
333,47,58,38,11
334,45,58,37,11
335,48,58,36,10
336,47,57,39,12
337,47,59,39,10
338,48,57,35,13
339,46,58,37,10
340,46,58,38,12
341,49,58,36,12
342,47,58,38,12
343,49,57,37,12
344,47,58,37,11
345,47,57,38,11
346,46,59,38,12
347,47,59,38,12
348,47,58,38,12
349,46,56,38,12
350,48,59,39,11
351,47,59,37,11
352,47,58,38,12
353,47,58,37,10
354,46,58,38,11
355,46,58,35,11
356,47,59,37,12
357,48,58,37,10
358,48,57,36,11
359,47,56,37,12
360,47,57,38,11
361,47,59,38,10
362,46,57,37,12
363,47,58,36,10
364,47,58,37,10
365,47,58,38,11
366,47,58,36,10
367,47,59,36,13
368,47,59,38,13
369,45,56,38,10
370,47,59,37,11
371,47,58,38,10
372,47,59,37,11
373,48,58,37,11
374,47,58,37,10
375,47,57,38,10
376,48,58,38,11
377,48,56,38,12
378,48,56,37,12
379,47,60,38,12
380,47,59,36,12
381,44,57,39,10
382,47,58,39,10
383,47,57,35,12
384,47,58,37,11
385,46,57,37,10
386,48,57,38,10
387,47,58,37,10
388,48,58,37,10
389,47,58,37,11
390,47,58,37,11
391,47,58,37,11
392,47,58,37,10
393,47,59,36,12
394,47,59,36,12
395,47,58,38,12
396,47,59,37,12
397,46,59,35,11
398,47,59,36,11
399,47,57,36,10
400,48,57,37,11
401,45,60,36,11
402,47,58,37,10
403,47,58,38,11
404,47,58,37,10
405,48,57,37,13
406,47,58,36,11
407,47,58,38,10
408,48,57,36,11
409,48,57,36,11
410,47,57,35,10
411,48,58,38,9
412,48,57,37,9
413,47,58,37,12
414,46,58,37,11
415,48,58,37,11
416,47,58,38,11
417,46,58,38,10
418,46,56,36,11
419,47,60,39,12
420,47,59,38,11
421,47,58,39,11
422,48,58,37,9
423,46,58,38,9
424,46,58,37,10
425,47,57,37,10
426,46,58,38,11
427,48,58,38,10
428,47,58,38,10
429,47,59,38,10
430,46,57,37,10
431,48,58,37,10
432,46,56,37,10
433,46,59,38,10
434,45,59,38,11
435,47,58,38,10
436,48,57,37,9
437,47,56,36,10
438,48,58,38,10
439,45,58,38,10
440,47,58,36,10
441,47,57,38,10
442,46,57,37,10
443,48,57,37,11
444,46,58,37,11
445,46,57,38,12
446,46,58,35,11
447,47,59,37,12
448,47,58,37,11
449,46,58,37,12
450,46,58,37,12
451,47,57,37,12
452,47,58,37,12
453,46,57,37,12
454,47,59,37,11
455,47,59,38,10
456,46,58,37,10
457,46,58,35,11
458,46,58,38,11
459,49,58,37,9
460,47,58,37,11
461,47,57,37,10
462,46,58,36,11
463,46,57,37,11
464,46,57,37,11
465,47,58,37,11
466,46,58,38,9
467,48,57,38,11
468,47,57,38,11
469,47,58,38,11
470,48,59,38,12
471,48,58,36,13
472,46,58,38,11
473,47,58,37,12
474,47,57,37,12
475,48,58,37,11
476,49,56,36,11
477,46,59,36,12
478,47,58,38,10
479,47,58,38,12
480,46,58,38,11
481,47,58,38,12
482,47,58,37,11
483,46,58,37,11
484,47,58,37,8
485,48,56,37,11
486,46,57,38,12
487,48,59,37,10
488,47,58,38,10
489,47,59,37,11
490,44,57,37,11
491,48,57,36,12
492,47,58,38,11
493,47,57,36,9
494,47,57,36,10
495,46,58,36,10
496,46,57,36,11
497,47,58,38,11
498,47,57,36,10
499,47,58,39,10
500,48,57,37,10
501,46,58,37,11
502,47,59,36,10
503,47,57,38,13
504,48,59,36,12
505,48,57,38,12
506,46,57,37,13
507,47,58,38,9
508,46,58,38,11
509,45,60,36,10
510,47,57,37,12
511,47,60,38,9
512,47,59,36,11
513,48,57,36,12
514,46,57,37,11
515,47,58,38,11
516,47,59,38,13
517,47,59,38,11
518,47,59,39,12
519,47,57,36,11
520,47,59,37,12
521,48,57,37,13
522,47,56,37,11
523,46,57,36,10
524,48,58,37,11
525,47,58,37,10
526,46,58,37,11
527,47,58,37,9
528,47,57,37,12
529,46,58,35,10
530,48,57,37,10
531,48,58,36,11
532,49,56,36,10
533,47,58,36,11
534,47,58,37,12
535,47,57,37,11
536,46,57,36,9
537,46,59,36,10
538,47,58,37,10
539,47,57,37,11
540,46,57,37,12
541,46,57,35,10
542,47,58,36,12
543,48,57,38,10
544,48,56,36,10
545,48,57,38,12
546,48,58,38,10
547,46,57,38,12
548,45,57,38,12
549,49,57,37,11
550,47,58,38,10
551,46,59,36,11
552,48,59,37,13
553,48,57,37,13
554,47,59,38,11
555,47,58,38,11
556,47,58,36,13
557,47,58,38,12
558,47,56,37,12
559,47,56,37,12
560,49,58,39,10
561,47,59,37,12
562,48,57,36,11
563,47,58,38,12
564,48,58,35,12
565,47,57,37,13
566,47,58,37,12
567,48,59,38,11
568,48,58,38,8
569,47,58,38,11
570,46,56,37,10
571,46,56,36,11
572,46,59,36,9
573,48,55,37,10
574,48,57,38,11
575,46,59,36,11
576,46,58,37,12
577,47,57,38,11
578,45,58,37,12
579,47,57,37,10
580,48,56,37,10
581,47,59,39,11
582,47,58,37,9
583,45,58,37,12
584,47,58,37,12
585,46,58,37,11
586,48,56,37,13
587,48,57,38,12
588,47,57,37,13
589,46,57,37,11
590,45,58,36,12
591,48,57,37,12
592,47,57,37,12
593,47,58,38,12
594,46,57,37,11
595,46,59,37,10
596,49,58,36,12
597,46,59,37,12
598,46,58,37,12
599,47,58,37,10
600,48,60,38,11
601,46,58,37,11
602,47,57,35,12
603,46,57,37,12
604,48,57,36,10
605,47,57,38,11
606,46,57,38,11
607,47,58,37,12
608,45,60,37,11
609,48,58,39,11
610,47,59,38,11
611,47,59,38,12
