PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 7
LED Wavelength: LED Green
PPG Channel: 2
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 7
LED Wavelength: LED Green

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Hex Integers
Sample Rate: 1000
Sample Time: 1
Desired Samples: 1000

Start Tick: 177709 at 12-34-20.383 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
0,2978,13E8,0025,0000
1,2944,13E6,0027,0000
2,293F,13E7,0026,0000
3,2945,13E5,0027,0000
4,293E,13E5,0027,0000
5,293A,13E7,0028,0000
6,292D,13E7,0027,0000
7,292E,13E3,0028,0000
8,2924,13E6,0028,0000
9,2924,13E5,0025,0000
10,291D,13E6,0027,0000
11,2921,13E5,0028,0000
12,291E,13E4,0027,0000
13,291F,13E4,0027,0000
14,2920,13E5,0026,0000
15,2925,13E4,0027,0000
16,2922,13E7,0026,0000
17,2926,13E5,0028,0000
18,2920,13E6,0027,0000
19,291B,13E4,0027,0000
20,2915,13E6,0028,0000
21,2911,13E3,0027,0000
22,2908,13E4,0026,0000
23,28FC,13E7,0026,0000
24,28FD,13E3,0027,0000
25,28F7,13E7,0026,0000
26,28FC,13E4,0024,0000
27,28F9,13E5,0026,0000
28,28FD,13E5,0028,0000
29,28F7,13E4,0028,0000
30,28FC,13E4,0026,0000
31,28FD,13E6,0028,0000
32,2905,13E5,0026,0000
33,2904,13E3,0026,0000
34,2902,13E6,0027,0000
35,28FB,13E6,0026,0000
36,28F8,13E3,0027,0000
37,28EE,13E4,0027,0000
38,28ED,13E4,0026,0000
39,28E8,13E3,0027,0000
40,28E8,13E7,0028,0000
41,28E9,13E3,0028,0000
42,28E8,13E5,0028,0000
43,28EA,13E5,0027,0000
44,28E7,13E6,0027,0000
45,28EA,13E4,0027,0000
