PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 3
LED Wavelength: LED Red
PPG Channel: 2
DAC Value: 20 Voltage: 0.10V
PGA Gain Setting: 5
LED Wavelength: LED Red

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 100
Sample Time: 10
Desired Samples: 1000

Start Tick: 192085 at 12-34-37.233 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
0,25508,20336,37,0
1,25492,20341,35,0
2,25494,20342,37,0
3,25494,20344,37,0
4,25499,20349,37,0
5,25502,20348,37,0
6,25506,20342,35,0
7,25503,20347,38,0
8,25509,20342,37,0
9,25505,20345,36,0
10,25513,20339,36,0
11,25507,20327,37,0
12,25500,20333,36,0
13,25506,20326,36,0
14,25506,20322,36,0
15,25512,20320,38,0
16,25511,20317,38,0
17,25506,20321,36,0
18,25510,20319,37,0
19,25501,20318,38,0
20,25500,20325,36,0
21,25500,20328,37,0
22,25498,20332,37,0
23,25492,20345,36,0
24,25496,20354,36,0
25,25493,20358,36,0
26,25499,20353,38,0
27,25485,20356,37,0
28,25487,20351,39,0
29,25483,20351,37,0
30,25484,20353,36,0
31,25488,20348,38,0
32,25482,20355,37,0
33,25486,20353,36,0
34,25488,20353,37,0
35,25483,20362,36,0
36,25492,20356,36,0
37,25488,20366,36,0
38,25500,20373,38,0
39,25509,20382,36,0
40,25517,20387,36,0
41,25525,20390,36,0
42,25520,20401,35,0
43,25526,20409,36,0
44,25527,20405,36,0
45,25513,20413,37,0
46,25511,20416,35,0
47,25500,20413,37,0
48,25492,20423,36,0
49,25497,20432,36,0
50,25491,20449,37,0
51,25501,20459,37,0
52,25507,20470,36,0
53,25507,20474,37,0
54,25507,20472,37,0
55,25503,20473,35,0
56,25506,20471,35,0
57,25503,20471,36,0
58,25508,20473,36,0
59,25512,20465,36,0
60,25509,20469,35,0
61,25514,20460,36,0
62,25505,20457,36,0
63,25505,20462,36,0
64,25507,20461,36,0
65,25504,20461,36,0
66,25507,20462,37,0
67,25510,20458,38,0
68,25504,20465,38,0
69,25513,20461,36,0
70,25516,20464,37,0
71,25515,20462,36,0
72,25515,20454,37,0
73,25509,20455,34,0
74,25512,20454,37,0
75,25507,20457,37,0
76,25503,20459,35,0
77,25501,20466,36,0
78,25498,20477,37,0
79,25501,20490,37,0
80,25503,20498,37,0
81,25495,20514,38,0
82,25498,20518,36,0
83,25494,20522,37,0
84,25494,20514,34,0
85,25493,20512,36,0
86,25489,20510,36,0
87,25491,20513,37,0
88,25496,20503,38,0
89,25490,20503,38,0
90,25490,20500,38,0
91,25491,20499,37,0
92,25497,20488,36,0
93,25494,20487,35,0
94,25498,20476,37,0
95,25506,20481,36,0
96,25519,20473,38,0
97,25525,20461,36,0
98,25516,20448,36,0
99,25510,20448,36,0
100,25509,20440,35,0
101,25501,20438,37,0
102,25493,20437,38,0
103,25487,20444,37,0
104,25487,20441,35,0
105,25484,20436,35,0
106,25474,20441,36,0
107,25477,20436,37,0
108,25475,20442,37,0
109,25478,20441,37,0
110,25476,20441,37,0
111,25467,20448,36,0
112,25478,20445,36,0
113,25478,20442,36,0
114,25474,20452,36,0
115,25484,20449,37,0
116,25479,20455,37,0
117,25483,20450,35,0
118,25479,20450,36,0
119,25478,20457,38,0
120,25487,20448,36,0
121,25476,20456,36,0
122,25485,20455,37,0
123,25486,20456,37,0
124,25489,20460,36,0
125,25493,20462,38,0
126,25493,20464,36,0
127,25498,20462,36,0
128,25499,20460,36,0
129,25492,20468,38,0
130,25498,20469,37,0
131,25495,20474,37,0
132,25494,20488,37,0
133,25497,20489,37,0
134,25493,20502,37,0
135,25502,20505,37,0
136,25503,20512,37,0
137,25503,20511,37,0
138,25496,20506,38,0
139,25488,20517,38,0
140,25495,20518,36,0
141,25492,20523,38,0
142,25492,20531,37,0
143,25500,20527,36,0
144,25496,20530,37,0
145,25496,20518,37,0
146,25489,20513,37,0
147,25491,20516,36,0
148,25500,20506,37,0
149,25493,20505,37,0
150,25506,20492,35,0
151,25512,20485,37,0
152,25505,20484,38,0
153,25508,20479,36,0
154,25509,20487,37,0
155,25521,20478,38,0
156,25511,20468,37,0
157,25502,20469,35,0
158,25501,20463,35,0
159,25493,20465,37,0
160,25494,20471,36,0
161,25496,20463,36,0
162,25488,20462,37,0
163,25486,20464,36,0
164,25491,20457,38,0
165,25483,20461,36,0
166,25488,20465,36,0
167,25489,20463,38,0
168,25484,20460,37,0
169,25485,20473,36,0
170,25487,20475,38,0
171,25488,20472,36,0
172,25484,20481,36,0
173,25491,20483,35,0
174,25494,20478,36,0
175,25495,20468,36,0
176,25493,20468,37,0
177,25498,20467,37,0
178,25501,20468,37,0
179,25500,20461,36,0
180,25494,20465,36,0
181,25500,20461,35,0
182,25501,20457,37,0
183,25501,20452,38,0
184,25499,20452,37,0
185,25502,20456,36,0
186,25507,20447,36,0
187,25500,20455,38,0
188,25505,20452,36,0
189,25491,20456,36,0
190,25491,20464,38,0
191,25495,20466,36,0
192,25490,20483,36,0
193,25495,20495,38,0
194,25497,20500,37,0
195,25484,20507,36,0
196,25483,20509,37,0
197,25482,20510,38,0
198,25483,20515,36,0
199,25488,20502,37,0
200,25478,20502,36,0
201,25482,20502,36,0
202,25485,20501,36,0
203,25483,20501,36,0
204,25482,20494,37,0
205,25481,20503,37,0
206,25492,20498,36,0
207,25491,20495,37,0
208,25493,20493,37,0
209,25496,20491,38,0
210,25498,20495,37,0
211,25498,20503,35,0
212,25506,20494,35,0
213,25498,20493,37,0
214,25499,20493,36,0
215,25499,20502,36,0
216,25510,20492,37,0
217,25508,20485,36,0
218,25506,20489,37,0
219,25512,20485,36,0
220,25511,20480,36,0
221,25509,20475,37,0
222,25509,20470,35,0
223,25507,20473,37,0
224,25513,20467,36,0
225,25502,20462,36,0
226,25500,20465,36,0
227,25506,20458,35,0
228,25497,20461,37,0
229,25497,20457,36,0
230,25496,20463,36,0
231,25501,20464,37,0
232,25504,20460,35,0
233,25502,20456,36,0
234,25501,20451,37,0
235,25502,20447,37,0
236,25503,20454,38,0
237,25503,20449,36,0
238,25502,20452,34,0
239,25508,20452,37,0
240,25511,20451,37,0
241,25507,20451,37,0
242,25508,20442,37,0
243,25505,20446,38,0
244,25507,20457,38,0
245,25511,20450,36,0
246,25499,20455,37,0
247,25499,20461,37,0
248,25495,20479,37,0
249,25500,20493,37,0
250,25509,20492,37,0
251,25498,20506,35,0
252,25502,20512,37,0
253,25500,20515,38,0
254,25497,20523,37,0
255,25499,20518,36,0
256,25493,20518,36,0
257,25496,20511,37,0
258,25503,20504,37,0
259,25502,20499,36,0
260,25507,20481,36,0
261,25495,20485,37,0
262,25500,20475,37,0
263,25500,20464,36,0
264,25497,20470,37,0
265,25507,20466,37,0
266,25506,20463,35,0
267,25510,20470,36,0
268,25518,20465,35,0
269,25511,20463,36,0
270,25510,20451,37,0
271,25504,20455,37,0
272,25501,20458,37,0
273,25501,20449,37,0
274,25498,20448,37,0
275,25498,20446,38,0
276,25496,20447,37,0
277,25497,20450,37,0
278,25494,20460,38,0
279,25501,20463,37,0
280,25502,20461,36,0
281,25496,20468,36,0
282,25497,20468,36,0
283,25497,20469,36,0
284,25500,20467,38,0
285,25496,20470,36,0
286,25499,20474,36,0
287,25502,20485,37,0
288,25512,20479,36,0
289,25509,20476,37,0
290,25506,20485,36,0
291,25517,20482,35,0
292,25511,20488,37,0
293,25520,20485,37,0
294,25523,20485,37,0
295,25528,20480,38,0
296,25526,20474,37,0
297,25522,20478,36,0
298,25530,20467,35,0
299,25526,20469,36,0
300,25529,20469,37,0
301,25536,20460,37,0
302,25529,20462,35,0
303,25530,20461,37,0
304,25524,20466,37,0
305,25519,20478,38,0
306,25520,20480,36,0
307,25514,20492,37,0
308,25520,20493,36,0
309,25514,20502,35,0
310,25510,20515,35,0
311,25515,20509,37,0
312,25502,20524,35,0
313,25513,20524,37,0
314,25511,20516,38,0
315,25506,20517,36,0
316,25511,20508,37,0
317,25504,20512,37,0
318,25511,20510,38,0
319,25513,20505,37,0
320,25509,20504,37,0
321,25511,20489,36,0
322,25502,20495,36,0
323,25516,20490,36,0
324,25525,20478,36,0
325,25515,20482,37,0
326,25523,20473,36,0
327,25513,20479,37,0
328,25523,20481,36,0
329,25525,20472,36,0
330,25508,20482,37,0
331,25516,20477,37,0
332,25510,20477,37,0
333,25510,20474,36,0
334,25507,20473,37,0
335,25505,20484,38,0
336,25515,20480,37,0
337,25517,20477,37,0
338,25515,20485,36,0
339,25522,20476,37,0
340,25516,20482,38,0
341,25523,20491,37,0
342,25532,20483,36,0
343,25522,20492,37,0
344,25533,20485,38,0
345,25524,20492,37,0
346,25532,20490,37,0
347,25534,20491,36,0
348,25533,20489,37,0
349,25536,20485,36,0
350,25538,20490,37,0
351,25546,20483,37,0
352,25546,20476,37,0
353,25541,20476,38,0
354,25542,20469,37,0
355,25540,20474,37,0
356,25545,20469,37,0
357,25546,20464,37,0
358,25540,20464,38,0
359,25552,20455,37,0
360,25545,20458,35,0
361,25538,20465,36,0
362,25540,20468,35,0
363,25528,20476,36,0
364,25530,20483,36,0
365,25528,20496,36,0
366,25523,20501,36,0
367,25527,20504,37,0
368,25523,20516,37,0
369,25524,20533,37,0
370,25527,20539,37,0
371,25523,20543,35,0
372,25525,20548,37,0
373,25528,20539,37,0
374,25525,20530,37,0
375,25527,20521,37,0
376,25520,20522,37,0
377,25528,20507,37,0
378,25522,20493,37,0
379,25520,20489,37,0
380,25520,20474,37,0
381,25513,20475,39,0
382,25522,20466,37,0
383,25518,20464,37,0
384,25523,20463,38,0
385,25528,20461,36,0
386,25528,20454,36,0
387,25529,20445,37,0
388,25516,20444,36,0
389,25514,20449,36,0
390,25518,20447,35,0
391,25509,20452,37,0
392,25517,20449,37,0
393,25513,20446,38,0
394,25507,20449,36,0
395,25513,20446,37,0
396,25510,20444,35,0
397,25511,20447,36,0
398,25517,20431,38,0
399,25502,20438,36,0
400,25512,20429,34,0
401,25500,20433,37,0
402,25509,20429,36,0
403,25508,20429,36,0
404,25506,20428,36,0
405,25503,20418,37,0
406,25497,20420,39,0
407,25496,20425,36,0
408,25503,20423,36,0
409,25497,20424,38,0
410,25499,20419,37,0
411,25499,20422,36,0
412,25502,20419,35,0
413,25501,20411,36,0
414,25498,20411,36,0
415,25504,20412,36,0
416,25507,20403,37,0
417,25493,20410,36,0
418,25504,20405,36,0
419,25505,20404,38,0
420,25503,20395,38,0
421,25501,20393,37,0
422,25502,20391,37,0
423,25502,20376,36,0
424,25489,20374,38,0
425,25482,20385,35,0
426,25487,20387,36,0
427,25478,20402,36,0
428,25482,20412,35,0
429,25478,20428,36,0
430,25482,20437,35,0
431,25479,20436,37,0
432,25468,20448,35,0
433,25473,20451,36,0
434,25469,20449,36,0
435,25467,20451,37,0
436,25473,20448,36,0
437,25465,20452,38,0
438,25473,20446,34,0
439,25471,20451,37,0
440,25487,20445,37,0
441,25488,20434,37,0
442,25487,20436,38,0
443,25498,20431,37,0
444,25506,20425,37,0
445,25507,20420,37,0
446,25508,20412,37,0
447,25504,20414,37,0
448,25508,20415,35,0
449,25512,20411,36,0
450,25501,20412,36,0
451,25505,20403,36,0
452,25498,20405,36,0
453,25497,20407,36,0
454,25494,20401,36,0
455,25488,20404,37,0
456,25487,20406,37,0
457,25485,20415,37,0
458,25495,20415,35,0
459,25492,20409,36,0
460,25486,20412,36,0
461,25495,20403,37,0
462,25485,20406,36,0
463,25488,20406,38,0
464,25486,20408,36,0
465,25484,20415,37,0
466,25483,20416,35,0
467,25485,20416,36,0
468,25481,20424,37,0
469,25485,20424,38,0
470,25479,20430,38,0
471,25488,20427,35,0
472,25493,20407,38,0
473,25480,20412,36,0
474,25496,20395,37,0
475,25492,20384,35,0
476,25498,20371,36,0
477,25495,20356,36,0
478,25487,20355,33,0
479,25489,20343,37,0
480,25479,20345,37,0
481,25484,20338,37,0
482,25480,20333,36,0
483,25475,20339,36,0
484,25475,20337,38,0
485,25469,20349,37,0
486,25471,20356,38,0
487,25471,20356,36,0
488,25461,20367,37,0
489,25469,20379,38,0
490,25469,20379,37,0
491,25457,20379,36,0
492,25455,20387,37,0
493,25454,20394,37,0
494,25460,20379,36,0
495,25440,20384,35,0
496,25452,20388,35,0
497,25456,20379,37,0
498,25452,20386,35,0
499,25457,20374,38,0
500,25460,20368,36,0
501,25457,20371,38,0
502,25470,20360,36,0
503,25467,20359,36,0
504,25476,20355,36,0
505,25478,20353,37,0
506,25485,20355,37,0
507,25491,20343,37,0
508,25479,20344,36,0
509,25481,20346,36,0
510,25482,20336,37,0
511,25462,20344,35,0
512,25469,20343,36,0
513,25465,20348,37,0
514,25469,20349,37,0
515,25470,20343,37,0
516,25468,20356,36,0
517,25484,20347,37,0
518,25477,20347,37,0
519,25480,20347,36,0
520,25483,20347,36,0
521,25481,20354,36,0
522,25486,20355,36,0
523,25487,20358,36,0
524,25492,20357,37,0
525,25489,20357,38,0
526,25484,20365,36,0
527,25489,20369,37,0
528,25490,20368,37,0
529,25493,20371,37,0
530,25497,20370,38,0
531,25496,20374,37,0
532,25504,20369,36,0
533,25508,20361,35,0
534,25505,20371,36,0
535,25517,20363,37,0
536,25505,20367,36,0
537,25519,20362,36,0
538,25520,20350,37,0
539,25509,20349,37,0
540,25512,20340,36,0
541,25507,20340,34,0
542,25506,20332,37,0
543,25498,20341,36,0
544,25498,20346,35,0
545,25497,20346,36,0
546,25492,20354,37,0
547,25487,20366,35,0
548,25484,20373,37,0
549,25482,20384,37,0
550,25486,20389,37,0
551,25488,20392,38,0
552,25492,20393,36,0
553,25494,20385,37,0
554,25486,20389,36,0
555,25489,20382,37,0
556,25488,20374,38,0
557,25483,20378,36,0
558,25493,20362,37,0
559,25481,20361,36,0
560,25486,20358,37,0
561,25486,20358,37,0
562,25489,20359,36,0
563,25499,20351,37,0
564,25497,20352,37,0
565,25500,20350,36,0
566,25498,20347,38,0
567,25498,20348,37,0
568,25500,20343,36,0
569,25495,20347,36,0
570,25496,20339,36,0
571,25494,20342,37,0
572,25500,20339,36,0
573,25499,20327,36,0
574,25490,20322,37,0
575,25491,20322,37,0
576,25493,20310,37,0
577,25485,20318,36,0
578,25483,20316,36,0
579,25483,20321,37,0
580,25485,20331,38,0
581,25487,20322,37,0
582,25470,20339,36,0
583,25481,20347,36,0
584,25487,20347,37,0
585,25488,20353,36,0
586,25499,20349,36,0
587,25495,20358,37,0
588,25503,20357,36,0
589,25506,20357,36,0
590,25509,20366,37,0
591,25517,20357,37,0
592,25510,20361,37,0
593,25515,20354,37,0
594,25513,20349,37,0
595,25510,20349,37,0
596,25510,20343,37,0
597,25509,20350,38,0
598,25522,20347,36,0
599,25519,20347,36,0
600,25518,20348,38,0
601,25522,20349,38,0
602,25522,20347,37,0
603,25517,20349,36,0
604,25516,20346,36,0
605,25507,20356,37,0
606,25514,20360,34,0
607,25515,20365,38,0
608,25513,20388,37,0
609,25521,20392,36,0
610,25508,20401,35,0
611,25505,20407,37,0
612,25505,20407,37,0
613,25507,20405,36,0
614,25507,20401,37,0
615,25511,20398,36,0
616,25508,20391,38,0
617,25500,20386,36,0
618,25500,20395,37,0
619,25509,20384,36,0
620,25503,20380,36,0
621,25505,20377,36,0
622,25507,20378,37,0
623,25512,20377,37,0
624,25522,20367,36,0
625,25515,20371,37,0
