PATHS-UP MultiModal Wearable
Firmware Version: 0.7.6.1

PPG Settings
PPG Channel: 1
DAC Value: 0 Voltage: 0.00V
PGA Gain Setting: 4
LED Wavelength: LED IR
PPG Channel: 2
DAC Value: 20 Voltage: 0.10V
PGA Gain Setting: 6
LED Wavelength: LED IR

BioZ Settings
BioZ Carrier Frequency:	17000 Hz
Current Setting:	Off


Contact Pressure
w: 0.00 g, p: 0.00 mmHg
w: 0.00 g, p: 0.00 mmHg

Data Format: ASCII Unsigned Integers
Sample Rate: 1000
Sample Time: 1
Desired Samples: 1000

Start Tick: 227001 at 12-35-16.369 2023-10-26
Sample Count,PPG 1,PPG 2,BioZ 1,BioZ 2
0,31181,15059,38,0
1,31225,15056,38,0
2,31217,15055,39,0
3,31214,15055,39,0
4,31213,15055,38,0
5,31209,15057,39,0
6,31205,15058,39,0
7,31204,15057,37,0
8,31208,15061,40,0
9,31211,15058,40,0
10,31203,15059,38,0
11,31205,15059,38,0
12,31206,15060,38,0
13,31211,15057,38,0
14,31206,15057,38,0
15,31212,15053,40,0
16,31204,15053,37,0
17,31206,15052,38,0
18,31204,15047,39,0
19,31192,15051,39,0
20,31197,15050,39,0
21,31192,15050,37,0
22,31195,15050,41,0
23,31191,15051,39,0
24,31193,15051,39,0
25,31191,15054,39,0
26,31194,15055,39,0
27,31195,15057,38,0
28,31200,15054,37,0
29,31197,15055,39,0
30,31197,15053,38,0
31,31195,15048,39,0
32,31191,15046,39,0
33,31188,15044,37,0
34,31189,15047,39,0
35,31188,15043,38,0
36,31179,15048,40,0
37,31187,15046,39,0
38,31185,15047,39,0
39,31184,15053,38,0
40,31196,15051,39,0
41,31185,15053,37,0
42,31196,15055,39,0
43,31197,15054,39,0
44,31194,15050,38,0
45,31189,15053,41,0
46,31195,15051,40,0
47,31189,15053,39,0
48,31188,15050,39,0
49,31184,15053,39,0
50,31189,15055,39,0
51,31191,15052,40,0
52,31183,15056,40,0
53,31191,15052,39,0
54,31182,15054,40,0
55,31188,15055,39,0
56,31190,15056,38,0
57,31191,15054,39,0
58,31192,15050,38,0
59,31183,15055,38,0
60,31193,15054,39,0
61,31189,15054,39,0
62,31189,15053,38,0
63,31181,15055,40,0
64,31183,15054,38,0
65,31182,15056,38,0
66,31181,15055,39,0
67,31181,15059,39,0
68,31186,15059,38,0
69,31187,15060,39,0
70,31186,15060,39,0
71,31190,15060,39,0
72,31194,15057,39,0
73,31188,15060,37,0
74,31197,15055,38,0
75,31188,15051,38,0
76,31184,15052,39,0
77,31188,15050,39,0
78,31187,15050,39,0
79,31186,15045,38,0
80,31182,15047,39,0
81,31186,15045,41,0
82,31185,15048,41,0
83,31192,15046,39,0
84,31191,15048,37,0
85,31205,15040,38,0
86,31197,15041,41,0
87,31205,15039,40,0
88,31201,15037,40,0
89,31198,15039,38,0
90,31203,15041,40,0
91,31199,15038,40,0
92,31198,15033,37,0
93,31196,15034,38,0
94,31194,15038,39,0
95,31199,15040,39,0
96,31197,15040,39,0
97,31195,15043,39,0
98,31203,15038,39,0
99,31201,15038,39,0
100,31204,15040,38,0
101,31205,15040,38,0
102,31207,15042,37,0
103,31210,15041,39,0
104,31204,15041,38,0
105,31206,15043,37,0
106,31204,15041,39,0
107,31197,15050,39,0
108,31208,15042,38,0
109,31195,15051,38,0
110,31209,15049,40,0
111,31205,15048,39,0
